Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
The Scholars Choice                  ,N/A,N/A,Chandrasekharpur,"H I G- 35, 7 Acre, Vijay Vihar, Chandrasekharpur, Bhubaneswar - 753016",Delhi, 751024,India,,"Abacus Training, Communicative English, Handwriting, Language, Mental Maths, Olympiad Exam Preparation, Personality Development, Spell Bee Training, All Subjects, Biology, Chemistry, English, EVS, Geography, Hindi, History, Mathematics, Physics, Science, Accountancy, Algebra, Anatomy, Anthropology, ... More [+]","10 - 15 Faculties From Different Well Established Schools Like SAI, Times Scholar, KIIT  and DAV.

Here are our names of the faculty members:
Pavitra kumar Debata, Monalisa Das."
Ramanujan Academy Of Mathematics                  ,N/A,N/A,Unit-4,"A/2, Bhouma Nagar, Unit-4, Bhubaneswar, 751001",Delhi, 751001,India,,"Algebra, Mathematics, Statistics","
	Ramanujan Academy Of Mathematics is located in the city of Bhubaneswar. We cater in mathematics and specializing in IIT. From making the student knowledgeable about the subjects and guiding them for their future."
Vedic Tutorial                  ,N/A,N/A,V.s.s. Nagar,"AE-102, 1st Floor, VSS Nagar, Bbbsr, Odisha, 751007",Delhi, 751007,India,,Mathematics,"
	Vedic Tutorial is located in Bhubaneswar. We are helping students to build a strong knowledge base for the students for a long time. We have all the resources ready to serve the students for their best results."
Aldine Ca                  ,N/A,N/A,Baramunda Colony,"B-238, Bda Duplex, Behind Puspa Clinic And Patra Electronics, Baramunda, Bhubaneshwar, 751003",Delhi, 751003,India,,"ACCA, CA - CPT, CA - Final, CA - IPCC, Direct Tax Laws","B-238, Bda Duplex, Behind Puspa Clinic And Patra Electronics, Baramunda, Bhubaneshwar, 751003"
Slg                  ,N/A,N/A,I R C Village,"N/4, 243
ID Market
Nayapalli",Delhi, 751015,India,,Spoken English,"
	Vcc Learn English helps the students to develop their English and helps them to do better in their professional world."
Radiant Classes                  ,N/A,N/A,Saheed Nagar,"B-55, Opposite Of Rd Women College, Saheed Nagar, Bhubaneswar,",Delhi, 751007,India,,"CA - CPT, CA - IPCC, CS Professional, Direct Tax Laws, ICWA & ICWAI","
	Radiant Classes is an institute for students where they will get good facility and calm studying atmosphere with a very high level of teaching. We will identify the strength and weakness of each student individually for their studies. Our method of teaching is similar to home tuition where every student get individual attention .We welcome all the parents and students who are looking for good tutoring."
Iant                  ,N/A,N/A,Master Canteen,"11 A, 2nd Floor, Master Canteen Area, Beside Hotel Keshari, Bhubaneswar, Odisha, 751001",Delhi, 751001,India,https://www.myprivatetutor.com/userfiles/centers/center1464326031.png,"CCNA Certification, Cisco certification, Microsoft Certification, Oracle Certification","
	IANT Institute of Advance Network and Technology is India's No.1 IT Training Institute. IANT is a no.1 training partner of CompTIA, Redhat, and EC-Council in India. Institute of Advance Network and Technology is a prestigious premier Institute with a qualitative and quantitative career development for IT solutions. It has a broader range of career aspect for Hardware and Networking, Software, Ethical Hacking and Cyber Security courses. IANT has successfully produced IT Hardware and Networking Engineer in your city and has reached the apex of targeted aim for career growth. IANT has achieved its advancement with placement guarantee and organizational career ladder for all aspirants. There are specific career courses for best training with professional certified faculty and team of recruitment agencies. You can obtain the best quality and value based training in IT and it is path to success towards career in technology advancement. IANT has come up with Hardware and Networking, Software, Ethical Hacking and Cyber Security. This is only double ISO certified Institute in India."
Apti Plus Academy For Civil Services                  ,N/A,N/A,Saheed Nagar,"A/8, 2nd Floor, Saheed Nagar, Bhubaneswar",Delhi, 751007,India,https://www.myprivatetutor.com/userfiles/centers/center1463562432.png,"IAS Preparation, IBPS, UPSC Exam","
	Apti Plus Academy for Civil Services has undoubtedly become the best coaching institute for Civil Services in Bhubaneswar as well as Kolkata. For its success rate & systematic teaching methodology, Apti Plus is being ranked as the best coaching for Civil Services & SSC CGL coaching in Kolkata & Bhubaneswar. Apti plus was set up in 2005-2006. Since its establishment, the institute has produced number of IAS, IFS, IPS & other central/state Govt. services members."
Interface Software Services                  ,N/A,N/A,Sahid Nagar,"#359, 2nd Floor, Sahid Nagar,Near Rupali Square,
Bhubaneswar-07, Odisha, India.",Delhi, 751007,India,https://www.myprivatetutor.com/userfiles/centers/center146338087716125.png,".Net, C# (C Sharp), Java and J2EE, Visual Basic","#359, 2nd Floor, Sahid Nagar,Near Rupali Square,
Bhubaneswar-07, Odisha, India."
Saligram Educators                  ,N/A,N/A,Laxmisagar,"PLOT NO 1006 B
TRINATH MANDIR ROAD

NEAR MEDPLUS STORE
LAXMISAGAR",Delhi, 751006,India,https://www.myprivatetutor.com/userfiles/centers/center146116759315874.jpg,"All Subjects, English, Hindi, Mathematics, Social Studies","
	As an educational startup Saligram Educators is focusing on the individualized education plans for the students who are unable to understand classes in crowded environment such as school and coaching centers. We promote our self as development center for our teaching methodology and approach towards the student is different from traditional coaching centers."
Institute Of Commerce & Professional Studies                  ,N/A,N/A,Saheed Nagar,"382, Sahid Nagar, Bhubaneswar",Delhi, 751007,India,,"CA - Final, ICWA & ICWAI","
	The only institute which teaches you with guarantee. We try to understand the requirement of each student. Once the educational needs of each student are identified, then the study pattern is planned according to their needs, within the scope of the syllabus. Learning is always suppose to be interactive and therefore, emphasis is always given on the feedback of the student regarding each topic that has been taught."
Interface Software Services                  ,N/A,N/A,Sahid Nagar,"359, 2nd Floor, Sahid Nagar,Near Rupali Square",Delhi, 751007,India,,".Net, C, C++, Java and J2EE","
	Interface Software Services is a complete Custom Software Development and Web Design Company in Bhubaneswar, Odisha offers customer oriented high quality web designing services & deliver them effectively. Whether you are a small business or a large corporate, Interface Software Services can help you achieve a unique online presence to give cutting edge web design."
Interface Software Service                  ,N/A,N/A,Saheed Nagar,"359, 2nd Floor, Sahid Nagar, Bhubaneswar",Delhi, 751007,India,https://www.myprivatetutor.com/userfiles/centers/center145950114615748.png,"Java Script, PHP and MySQL, Web CMS","
	Interface Software Service holds expertise in providing IT training services and software development solutions. Situated in Odisha, we provide intense training programs for techies to learn and enhance their skills. We are the best Source for students to develop their programming abilities in different technologies."
5th Ace Technologies                  ,N/A,N/A,Patia Chowk,"5th Ace Technologies, Hig - 101, Kanan Vihar, Odisha, India",Delhi, 751016,India,,".Net, C# (C Sharp), Java and J2EE","
	5TH Ace Technologies distinctive fifteen-weeks internship program allows interns to gain experience in multiple development areas such as HADOOP(BIG DATA), JAVA, .NET & ORACLE 10g, while working with the Real-Time Experienced developers. During their tenure, interns will have the opportunity to work on Real-Time projects: from developing concepts and ideas to presenting a pitch and executing a final product. That is your project in hand."
Sambhav Academy                  ,N/A,N/A,Nayapalli,"N3/409, IRC Village, Nayapalli, Bhubaneswar",Delhi, 751015,India,,All Subjects,"N3/409, IRC Village, Nayapalli, Bhubaneswar"
Institute Of Engineering & Management Studies                  ,N/A,N/A,Unit-9,"Plot No. 76, Near Kali Mandir, Satya Nagar",Delhi, 751007,India,https://www.myprivatetutor.com/userfiles/centers/center1455198068.png,"English, Mathematics, Civil, Electrical, Electronics, Mechanical","

		Expert Faculty 

		Proactive Learning 

		Unique Methodology 

		Interactive approach to teaching 

		Flexible Timings 

		Affordable Fees
"
Olympiad Tutorials                  ,N/A,N/A,Irc Village,N-3 IRC Village Bhubaneswar,Delhi, 751015,India,,"All Subjects, English, EVS, Mathematics, Geography, IT & Computer Subjects, History, Social Studies","

		Committed and qualified faculty

		Detailed learning process

		Academic interactions, assessments

		Updated study material

		Parent-teacher interaction
"
Mindsight                  ,N/A,N/A,Patia Chowk,"A/ 7 ,TRISHNA ENCLACE, PATIA",Delhi, 751024,India,,"Abacus Training, Biology, Business Maths, Mathematics, Physics, All Subjects, Chemistry","
	- Demonstration

	- Mock tests

	- One to tone tutoring

	- Crash course

	- Self prepared notes"
Innodust Techsolution                  ,N/A,N/A,Sahid Nagar,"Plot No-A/65, Saheed Nagar",Delhi, 751007,India,https://www.myprivatetutor.com/userfiles/centers/center1453370505.jpg,"Computer, Electrical, Electronics, Mechanical, Android Training, Embedded Systems, iOS Training, Robotics, .Net, C, C++, Java and J2EE, Visual Basic, Java Script, PHP and MySQL","

		Robotics

		Thermal

		Mechatronics

		3D printer

		Aerodynamics

		Embedded

		Matlab

		Solar
"
Shiksha Tutorial Point                  ,N/A,N/A,Khandagiri,"Plot No:l-7/13,panchasakha Nagar",Delhi, 751019,India,https://www.myprivatetutor.com/userfiles/centers/center1452441859.jpg,"Chemistry, English, Mathematics, Physics, .Net, C, C++, C# (C Sharp), Java and J2EE","
	Shiksha Tutorial Point is a tutorial coaching for school students for school level and computer related segment/subjects based in the city of Bhubaneshwar. We provide (CBSE/ICSE) from class 4th -12th(all subjects) Coaching for +2 students (Mathematics,Physics,Computer) Basic computer course(C,C++,Data structure,Java,Oracle,DCA,PGDCA)"
Trytoon Academy                  ,N/A,N/A,Palasuni,"Palasuni Hat, Rasulgarh, 
Bhubaneswar",Delhi, 751010,India,https://www.myprivatetutor.com/userfiles/centers/center1452487749.png,"Civil, Multimedia","

		Fashion Design

		Interior Design

		Graphic Design

		Web Design

		2D Animation

		3D Animation

		VFX composition

		Interior design certification course

		Advanced Diploma in Interior design

		Professional Diploma in Interior Design

		Professional Degree in Interior Design
"
Bsc Academy                  ,N/A,N/A,Sahid Nagar,"Sahid Nagar, Bhubaneswar",Delhi, 751007,India,https://www.myprivatetutor.com/userfiles/centers/center1451278981.jpg,"Bank Clerical, Bank PO, PWD & CPWD, SBI Exam, Spoken English, Business English, Effective Communication, Baking, Call Center Training, Office Administration, Software Engineering","We set out with a missionary zeal with the October 1993 issue of the magazine Banking Services Chronicle. And we are proud to say that our zeal has only strengthened with more than two decades of your unstinted support. We have been bringing one product after another — correspondence course, books, classroom coaching, online and offline tests, and websites. In all these endeavours we have strived for excellence. We have perceived your needs and tried to fulfil them. If today we are established as a reputed education giver, we owe it entirely to our generations of students."
