Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Ganesh Institute Of Engineering                  ,N/A,N/A,Adambakkam,"55, Goods Shed Road, Near St Thomas Railway Station, Adambakkam, Chennai, Tamil Nadu 600088",Delhi, 600088,India,https://www.myprivatetutor.com/userfiles/centers/center1471346349.gif,"AMIE, Chemistry, GATE Exam, IIT JAM, IIT JEE Advanced, IIT JEE Mains, Mathematics, Physics, Civil, Electrical, Electronics, Mechanical","55, Goods Shed Road, Near St Thomas Railway Station, Adambakkam, Chennai, Tamil Nadu 600088"
Schoolpage Tutorials                  ,N/A,N/A,Adyar,"Chennai 
600003",Delhi, 600003,India,https://www.myprivatetutor.com/userfiles/centers/center1407740615.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world.While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayer’s ‘Cognitive Theory of Multimedia Learning’. The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes, and Learning Outcomes that are highly student centric."
Galvanize Test Prep                  ,N/A,N/A,Nandanam,"Navin's Triumph, 802 & 804, Anna Salai, Nandanam, Chennai - 600 035",Delhi, 600035,India,https://www.myprivatetutor.com/userfiles/centers/center14605270694020.png,"ACT Exam, FMS, GMAT, GRE, IELTS, NBDE, NCLEX, OET, PSAT, PTE, SAT, Study in Australia, Study in Canada, Study in China, Study in Dubai, Study in Europe, Study in France, Study in Germany, Study in Ireland, Study in New Zealand, Study in Norway, Study in Singapore, Study in Switzerland, Study in UK, ... More [+]",Galvanize Test Prep delivers guaranteed score boosts for competitive exams through our unique Personalized Coaching system. We currently offer comprehensive test prep courses as well as free resources for GRE test takers.
T.i.m.e. Tuitions                  ,N/A,N/A,Tiruvallur,"Golden Colony,
Door No: 1408,1st Main, 4th Cross,
Golden Flats Bus Stop,
Opp. DAV Girls School,
Thirumangalam - Ambattur Main Road,
Anna Nagar West Extension,
Chennai - 600050",Delhi, 600050,India,https://www.myprivatetutor.com/userfiles/centers/center146122234315870.jpg,"Biology, Chemistry, Mathematics, Physics, Zoology","Golden Colony,
Door No: 1408,1st Main, 4th Cross,
Golden Flats Bus Stop,
Opp. DAV Girls School,
Thirumangalam - Ambattur Main Road,
Anna Nagar West Extension,
Chennai - 600050"
Sineru Professional Development Academy                  ,N/A,N/A,Velachery,"Door No. 9, Plot No. 74, 2nd Main Road, Vijayanagar, Ram Nagar North Extn",Delhi, 600042,India,https://www.myprivatetutor.com/userfiles/centers/center14249376453692.gif,"Accountancy, Arts Group, Business Organisation, Business Studies, Commerce Subjects, Costing, Economics, Statistics, Hindi, Auditing, B.Com Tuition, BA Tuition, Banking & Finance, BBA Tuition, BCA Tuition, Business Maths, Direct Tax, Financial Management, Indirect Tax, Mathematics, BBA Entrance","Sineru is a talent development initiative for budding Chartered Accountants that encompasses the very fundamentals of employability skills through coaching, training and soft skill enhancement. Here the faculties are academicians and qualified professionals with extensive experience in industry and practicing world. They have been training and coaching students in their individual capacity and have come together under this banner. They bring in rich experience of being involved in training leaders in corporate. Their stream of coaching focuses more on concepts and logical thinking techniques and not problem solving."
Techno School For Robotics                  ,N/A,N/A,Madipakkam,"No. 20/8, 1st Floor, Kannan Nagar, 3rd Main Road, Madipakkam, Chennai",Delhi, 600091,India,https://www.myprivatetutor.com/userfiles/centers/center146279192816051.jpg,"Robotics, Summer Camps","
	Techno School for Robotics is an initiative of Future Mindz Technology Solutions. We are an esteemed educational institutions for Robotics. We understand the requirement and gap of students today in their bid to be competitive with their counterparts across the world's robotics education. We work with the missions to initiate students from KG to PG to improve their Analytical thinking , Critical thinking, logical thinking, problem solving, reasoning capabilities, attitude to learning and to know new technologies."
Sangeetha Kalalayaa                  ,N/A,N/A,Perungudi,"No : 29, 3rd Cross Street,
Tirumalai Nagar, Perungudi,
Chennai",Delhi, 600096,India,,Summer Camps,"
	Sangeetha Kalalayaa was established with the prime vision of providing quality dance education and training with high class professional infrastructure at affordable prices. Through our committed approach, today we stand as a synonym for high quality dance education and musical training programs. We offer various music learning courses in Keyboard, voice lessons, violin lessons, Tabla lessons and several other instruments."
Think Diff Skool                  ,N/A,N/A,K K Nagar,"450/1, Lakshmanaswamy Salai, 
K K Nagar",Delhi, 600078,India,,Summer Camps,"
	Think Diff S’kool is a unique educational institute which works with the prime objective to nurture children's sense of wonder and excitement about STEM (Science, Technology, Engineering and Math). Through our hands-on activities we unlock their imagination. We spark children's innate curiosity and creativity and tend to inspire them to think, design and create."
Mirage Film Institute                  ,N/A,N/A,T. Nagar,"8, Balaji Avenue, 1st Street, T. Nagar, Chennai",Delhi, 600017,India,,Summer Camps,"
	is an institute offering various training programs in the art of Film making and Photography. We offer both regular and part time classes. Apart from the normal regular courses we also conduct intensive weekend workshops on Film making and Photography. We organize and conduct special film making and photography workshops for students at various colleges."
Robotix                  ,N/A,N/A,Adyar,"New No 9, Old No 5, 1st Cross Street, Karpagam Gardens, Adyar,
Chennai",Delhi, 600020,India,,Summer Camps,"
	Robotix offers robotics education programmes specially designed for young children. We follow a customized curriculum with innovative robotic technology. We also conduct various robotics competitions which are specially developed to inspire young innovators. All our programmes provide children a fun, hands-on learning experience that helps develop important 21st century skills."
Techknowledge                  ,N/A,N/A,Alwarthirunagar,"No. 51, I I Floor, 9th Main Road, Dhandeeswaram Nagar, Velachery",Delhi, 600042,India,,Summer Camps,"
	Techknowledge is a pioneer in the field of robotics training for school students. Our special stem based based robotics learning system make learning science interesting and fun filled. We follow a concept based learning system which helps students to understand scientific concepts as they build robot models."
Bay Of Life                  ,N/A,N/A,Kancheepuram,"# 14/19, Carmel Nagar, Kovalam,
East Coast Road (Near Taj Vivanta Fisherman’s Cove),
Chennai",Delhi, 603112,India,,Summer Camps,"
	Bay of Life Surf School is the first accredited surf school based in Chennai, Tamil Nadu. Our prime objective is to make the adventure of surfing in India easy and enjoyable. So we go beyond the adventure tag in Chennai and have made surfing a sport for the curious. Knowledge is our main strength which helps us in making learning with us a safe and genuinely fun experience. Having created many national champions and thousand of ocean lovers, Bay of Life is creating positive changes in the Indian surf scene. Our team also entered the Limca book of records for paddling 10 kms out to sea, the first ones to attempt such a feat in India. If you are surfing in India or looking forward to surfing in India, or looking to try new adventure activities in Chennai, including sea swimming, stand up paddling, surfing in Chennai, we are the right place."
Sporty Beans                  ,N/A,N/A,Mylapore,"No.10 & 11, Dr.radhakrishnan Salai, Mylapore, Near Kalyani Hospital",Delhi, 600004,India,,Summer Camps,"
	Sporty Beans is a renowned educational organization conducting various sports, educational and academic enrichment program and workshops for young children. The classes are designed in the most unique manner which ensures the overall development of the students. The sessions are all conducted by well trained staffs who are committed to bring the best in every child."
The Speech And Writing Club                  ,N/A,N/A,Nungambakkam,"No. 19 Nungam Bakkam High Road, Anugraha Appts 4-B
Chennai",Delhi, 600017,India,,Summer Camps,"
	The Speech and Writing Club was established with the sole purpose of providing quality education to young children. We follow an innovative approach of training where the children are exposed to various fun and interactive exercises and activities which not only improve their speech and writing skills but also contribute a lot to their overall personality development."
Inaword                  ,N/A,N/A,Adyar,"No. 26, (Old No. 60), Teachers’ Colony, Kasturba Nagar",Delhi, 600020,India,,Summer Camps,"
	Inaword was started by a a foreign language professional. We are currently based at Kasturba Nagar in Adyar, Chennai. We started with French and German language training and gradually added Spanish, Japanese, Chinese and English speaking courses as well. All the teaching members of our academy are highly qualified and well versed with the methodologies that enable high quality learning."
Kalaa Manjari                  ,N/A,N/A,Kumaran Nagar,"6/12, First Street,Venus Colony, 
Alwarpet, Chennai",Delhi, 600018,India,,Summer Camps,"
	Kalaa Manjari is well reputed educational center for Art and culture activities and training. We offer various classes and programs for children in a single premise. We offer courses in Art classes, Carnatic Vocal, Keyboard, Chess, Bharathanatyam, English and many more. All our sessions are conducted by well experienced trainers. We are currently planning to introduce many innovative and unique classes which will felicitate an overall personality enhancement."
Arobot                  ,N/A,N/A,Adambakkam,"No. 48A , Vellalar 
Street, Adambakkam,Near 
St. Thomas Mount Railway
Station, Chennai",Delhi, 600088,India,,Summer Camps,"
	Arobot is a design consultancy & Solutions provider for the Industry Automation, Academics and Application company. Our objective is to address the requirements of small and medium scale enterprises, research scholars and engineering students in the field of Automation, Robotics and Embedded Systems. We offer turn-key process optimisation solutions for manufacturing industries backed by an enthused team of young and dynamic engineers committed to address customer needs."
Aavishkaar India                  ,N/A,N/A,Mylapore,"No. 34, 2nd Main Road, CIT Colony, Mylapore, Chennai",Delhi, 600004,India,,Summer Camps,"
	Aavishkaar India mainly specializes in conducting camping and corporate events. In our camping programs children engage in different activities like trekking, rappelling, rock climbing, rope activities apart from learning about the flora and fauna of the location."
Poojitha                  ,N/A,N/A,Thousand Lights,"POLARIS BUILDING,5 C, MOUNT ROAD,CHENNAI",Delhi, 600008,India,,"Law Entrance, Contract Act Laws, Civil Laws, Jurisprudence, Company Laws, Administrative Laws, LLB, Criminal Laws, CLAT, Indirect Tax","POLARIS BUILDING,5 C, MOUNT ROAD,CHENNAI"
