Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Schoolpage Tutorials                  ,N/A,N/A,Abu Fazal Enclave,Delhi NCR 110001,Delhi, 110001,India,https://www.myprivatetutor.com/userfiles/centers/center1407740317.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world.While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayer’s ‘Cognitive Theory of Multimedia Learning’. The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes, and Learning Outcomes that are highly student centric."
Tutor 24*7                  ,N/A,N/A,Green Park,"810, Vishal Bhawan, 95, Nehru Place, New Delhi-110019.",Delhi, 110019,India,https://www.myprivatetutor.com/userfiles/centers/center14565500503217.png,"Botany, Chemistry, Mathematics, Physics, Zoology, Biology, AIEEE, AMIE, Architecture, CET, GATE Exam, IIT JEE Mains, AICEE, AIPMT, Medical Entrance Exams","The heart and soul of Tutor24x7 is engaged in providing the delight factor in learning leading to Learn anywhere and at any time; Learn at one’s own pace; Augment, use the lessons as a refresher to what they one has have learned in a face to face classroom; Retain the content more because of the bite sized learning sessions instead of a longer instructor-led training."
Success Tutorial                  ,N/A,N/A,Lakshmi Nagar,D 223 LAXMI CHAMBERS 2ND FLOOR  LAXMI NAGAR,Delhi, 110092,India,https://www.myprivatetutor.com/userfiles/centers/center1449747624.png,"Personality Development, Accountancy, Biology, Botany, Commerce Subjects, Costing, Economics, History, Physics, Political Science, Zoology, Auditing, B.Com Tuition, Direct Tax, Financial Management, MicroBiology, BBA Subjects, Management Subjects",Success Tutorial is a reputed tutorial based in the city of Delhi for school level and specialization in competitive level examination. We have all the resources to provide you with the best ambience for quality learning. You will be provided full attention to rectify your problem areas and better your strength.
Vidya Guru                  ,N/A,N/A,Tilak Nagar,"20/1-a, Jail Road, Prem Nagar, Nr. Tilak Nagar Metro Station(Gate No.3)",Delhi, 110018,India,https://www.myprivatetutor.com/userfiles/centers/center1455626224.jpg,"Bank Clerical, Bank PO, CWE Coaching, IBPS, SSC Exams","

		Maximum Number Of Classes

		Excellent Faculty

		Shortcuts & Time-saving Techniques

		Small Batch Size

		Personal Attention

		Regular Doubt Sessions

		Test Series

		Comprehensive Study Material

		Performance Tracking

		Full Course Coverage
"
Achievers Point                  ,N/A,N/A,South Extension-i,"F-18, First Floor, South Ex Part I",Delhi, 110049,India,https://www.myprivatetutor.com/userfiles/centers/center14264929783779.jpg,"IELTS, TOEFL, ACT Exam, GMAT, GRE, NCLEX, OET, PTE, SAT, Study in Australia, Study in Canada, Study in China, Study in Dubai, Study in Europe, Study in France, Study in Germany, Study in Ireland, Study in New Zealand, Study in Norway, Study in Singapore, Study in Switzerland, Study in UK, Study in U... More [+]",Gurukul revisited! Individualised attention & build up a chord as it was during thousands year old Gurukul. Incredible Success Story! Consistent track record of long years of delivering outstanding results in various exam make us the best training institute. It is actually incredible. Each & every class we go through feedback slip which makes sure we deliver what exactly we promise. Performance monitored through minutely designed measures. Mentors are always present at any stage of learning and can be contacted through SMS. Our trainers come from very cultured background that includes real test takers & person with global expertise.
Ims Centre For International Education                  ,N/A,N/A,New Friends Colony,"101-a, Ashoka Estate Building",Delhi, 110065,India,https://www.myprivatetutor.com/userfiles/centers/center1460787132.jpg,"IELTS, TOEFL, GMAT, GRE, PTE, SAT, Study in Australia, Study in Canada, Study in China, Study in Dubai, Study in Europe, Study in France, Study in Germany, Study in Ireland, Study in New Zealand, Study in Norway, Study in Singapore, Study in Switzerland, Study in UK, Study in USA","101-a, Ashoka Estate Building"
Academic Solutions                  ,N/A,N/A,Ashok Vihar,"J -9c, Phase 1, Ashok Vihar, Mig Flat",Delhi, 110052,India,,"All Subjects, English, Hindi, Mathematics, Social Studies, Biology, Chemistry, EVS, Geography, History, Physics, Accountancy, Botany, Business Maths, Business Studies, Commerce Subjects, Computer Science, Costing, Economics, Home Science, IT & Computer Subjects, Physiology, Political Science, Psycho... More [+]","
	- Mock tests

	- Self prepared notes

	- One to one tutoring"
Pace Coaching Classes                  ,N/A,N/A,Laxmi Nagar,"Office No. 202, D-385, Gali No.12, Near Laxmi Nagar Metro Station, Gate No.1",Delhi, 110092,India,https://www.myprivatetutor.com/userfiles/centers/center1447739710.png,"Accountancy, Anatomy, Bio Technology, Biology, Botany, Business Maths, Chemistry, Computer Science, Economics, IT & Computer Subjects, Mathematics, Physics, Statistics, Zoology, Algebra, School level computer, Actuarial Science, B.Com Tuition, Banking & Finance, Bio-informatics, Costing, Direct Tax,... More [+]","Pace Coaching Classes believes the function of education is to teach one to think intensively and to think critically.Professional competence to teach the subject. Located in a central place with adequate infrastructure, extra space to keep their personal belongings. Providing quality education, study material, competent staff, online help from experts."
Raj Engineering Academy                  ,N/A,N/A,Rohini,D 12 25-26 First Floor Sector-8 Rohini,Delhi, 110085,India,https://www.myprivatetutor.com/userfiles/centers/center145778218315605.jpg,"IT & Computer Subjects, Mathematics, Physics, Statistics, B.Sc Tuition, Computer Science, Electronics, IT, Polytechnic, BITSAT, GATE Exam, IIT JEE Mains, WBJEE, Computer, Electrical, Instrumentation, Mechanical",As an institute Raj Engineering Academy's primary aim in starting this institute was to impart technical education to engineering students in the real sense by implying on the needs and application of the engineering subjects and not just on formula and mugging by rote. Our approach to education is very pragmatic with completely holistic teaching methods ensconced inside an idealistic mantra.
Robo Club                  ,N/A,N/A,Nehru Place,"B 14 Lower Ground Floor, Chirag Enclave Next To Fortis C Doc, Opp. Nehru Place",Delhi, 110048,India,,N/A,"
	Robo Club is a world-class Robotics Club for young innovators. Robots are the workforce of the very near future. Young engineers now have a top-notch robotics club where they can design and actually build virtually anything they can think-up. They are able to achieve so though our action-packed programs in robotics, mechanics, electronics, coding and animation with solid foundations in Science, cutting edge technology, engineering and Mathematics. Through active participation in robotics competitions our young innovators get to shine in the national and global arenas."
