Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Top Commerce Teaching                  ,N/A,N/A,Dpl Coke Oven Colony,"Gamon Bridge, DPL, Durgapur-2",Delhi, 713202,India,,"CA - CPT, CA - IPCC, CMA Foundation, CS - Executive, MS Office, Tally ERP 9, Accounts, Advanced Excel, Business Analytics","
	Our faculties teach the students very carefully. we teach one to one basis. we teaching b.com all subject (hons and pass),CPT( CA entrance)-( all papers),cma / cwa foundation (all papers), CAT exam (computer accounting technician), CS foundation(all papers) and CWA and CA inter papers(new syllabus) and CS executive (taxation-direct and indirect, accounts and cost), and M.com also with a very affordable price. There is special discount available for financially incapable students. we are guaranteed that the teaching students are passed out from all exam with best marks. we have regular class module and some study mat. This is helping students. we also teach some computer courses i.e. tally, Basics,Taxation etc. The magic features of our institute the students have opportunity to earn money(this will be started in few days)."
Ronak Classes                  ,N/A,N/A,City Center,"A-1, MOULANA AZAD SARANI, CITY CENTRE, DURGAPUR-16",Delhi, 713216,India,,"Mathematics, IIT JEE Mains, Medical Entrance Exams","
	Ronak Classes is a reputed tutorial/coaching center based in the city of Durgapur specializing in JEE (Mains & Advanced), ISI, CMI, KVPY, RMO and other Olympiads IIT Foundation (7th, 8th, 9th, 10th)."
J3s Institute                  ,N/A,N/A,Golf Nagar Housing,"136 Kuchkuchia Road, Opp. Durga Temple",Delhi, 722101,India,https://www.myprivatetutor.com/userfiles/centers/center1449958702.png,"Business English, Corporate Communication, Effective Communication, Spoken English","
	J3S Institute aims at making all its students irrespective of age, class or profession fluent in English through constant practice of speaking English. The institute provides almost a Homely Environment that helps the learners feel free to share or express their views, feelings, opinions, arguments in English quite easily. Basic grammar lessons required for good speech are provided at a regular basis and are explained by Experienced Trainer(s) as well. These not only help a learner speak good English but also Correct English. J3s Institute believes Speaking Fluent English is Easier if it is Correctly Pronounced. So Pronunciation is taught to each and every learner individually through audio & (or) video by the trainer(s). Besides, Body Language and Personality Development of learners are always taken care of as both these play important roles behind Well-presentation of an English Speaker. Last but not the least, the Learner-friendly Study Materials including print outs, audio files or video files provided by the Institute make the trainees feel easy to speak English after only a few classes. Your visit to J3s Institute is awaited, honoured & appreciated."
Durgapur Gyan Sanchar                  ,N/A,N/A,City Center,UCP-10 Bengal Ambuja,Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1449647282.png,"Biology, Chemistry, Mathematics, Physics, Civil, Business English, Corporate Communication, Effective Communication, Spoken English, Body Language","

		Proven quality in training.

		Technically equipped class room.

		Approachable trainers.

		Student friendly ambience.

		Individual attention for each student.

		Convenient timings.
"
Nim Durgapur                  ,N/A,N/A,City Center,"City Center, Durgapur",Delhi, 713206,India,https://www.myprivatetutor.com/userfiles/centers/center1445663576.jpg,"B.Ed Tuition, BBA Tuition, BCA Tuition, English, BBA Subjects, Management Subjects, Beautician Course, Office Administration, Retail Management, B.Ed, BBA, BCA, MBA","National Institute of Management (Durgapur) is established with the spiritual support of Pundit Debu Choudhury former Dean of Delhi University. Under act 1961 of West Bengal Govt. The Institute is certified by ISO 9001-2008. We are offering comprehensive programmes in MBA, BBA, BCA, Hotel Management, BA, BSc, BCom, MA, MSc, MCom, Travel & Tourism Mgmt., Hospital Management, B Ed, D Ed, Nursing, ITI courses."
Appleware                  ,N/A,N/A,Bidhannagar,"A1/9, S S B Sarani, Near Mahalaxmi Park Bus Stop, Beside Main Road",Delhi, 713206,India,https://www.myprivatetutor.com/userfiles/centers/center1442558724.jpg,"Abacus Training, All Subjects, Computer, Mental Maths, Basic Computer, BCA Subjects, C, C++, Computer for official job, Corporate Communication, Effective Communication, Spoken English, Art & Craft Designing, Drawing & Painting","
	Appleware Computer Academy an autonomous institution running under a registered society. Since long we are providing various training programms on IT and Soft Skills among school, college students as well as among Industry professional to fulfill their dream to gain high quality knowledge in that sector. Appleware Computer Academy is an authorized vocational training provider under DGET, Ministry of Labour and Employment, Govt of India. We provide training on IT and Soft skill sector with complete free of cost with post training placement support for successful students. "
Xcellaskills                  ,N/A,N/A,City Center,"B33 Abanindra Bithi, City Center, Durgapur, West Bengal 713216",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center146316672610490.png,"Computer Science, English, IT & Computer Subjects, Bank Clerical, Bank PO, MAT, Railways Exams, BCA Subjects, C, C++, Data Structures, MCA Subjects, MS Office, Business English, Spoken English","About Us
Xcella Skills Foundation is a professionally managed non-profit organization (operated by a non-profit trust body) engaged in imparting training to develop job related  skill sets of under graduate and post graduate students to enhance their employability quotient. We are one of the premier and  trusted skill development organization in Eastern India.
Our Vission
Xcella Skills Foundation was created with vision of creating future leaders in workplace and in society. We are dedicatedly focused to provide best quality training to our students at a very low cost. Our vision is to create skilled human resource for future India by acting as a linkage between various industries and unemployed young generation.  

Our Mission
Our mission is to train younger generation of India to make them employable. There is a big deficiency of appropriately skilled human resource  across various sectors of industries, which is emerging as a significant and challenge to India's economic growth. We have mission to bridge this gap by imparting quality education and training to unemployed youths to make them future ready ."
Flexonlabs                  ,N/A,N/A,Bidhannagar,"A/27 Armstrong Avenue, Bidhannagar, Durgapur-12. Near Pump House Bus Stop",Delhi, 713212,India,https://www.myprivatetutor.com/userfiles/centers/center1431423683.jpg,"IT & Computer Subjects, Computer, Spoken English, .Net, C, C++, C# (C Sharp), HTML Training, Java and J2EE, Java Script, Joomla Training, Magento Training, PHP and MySQL, Web Development, Wordpress Training","
	• Qualified faculties from reputed institutions

	• Strong infrastructure

	• Calm environment of learning 

	• Individual attention

	• Industry interaction facility"
Sraac Animation                  ,N/A,N/A,City Center,"MNAV-1 Bengal Ambuja, City Centre,",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center14249293728325.png,"3D Animation, 3D Max / Maya, 3D Printing, Graphic Designing, Multimedia, Video Editing, Film Making, Model Making","
	When you think of a career in animation technology, only brand you can believe in is Sraac Animation. This is an organization famous for developing career in animation technology. With a great infrastructure, experienced and specialized faculty for providing the best quality training is available at our academy. Among varied specialities, OJT is one of the main specialities of ours."
Genext Education                  ,N/A,N/A,City Center,"CA-6, Ambedkar Sarani, Near Bengal Ambuja",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1423291740.jpg,"Biology, Chemistry, Mathematics, Olympiad Exam Preparation, KVPY Exam, Robotics, Bio Technology","
	GeNext’s faculty is made up of scholars in the field of education, all of whom are committed to teaching. The faculty provide the essence of the learning experience at the institute. All of them have one vision in mind to impart quality education and be a leader in the field of education. We provide valuable information regarding various premium institutes."
