Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Schoolpage Tutorials                  ,N/A,N/A,Ajit Nagar,Faridabad 121001,Delhi, 121001,India,https://www.myprivatetutor.com/userfiles/centers/center1427456655.jpg,"Chemistry, English, Mathematics, Physics, IELTS, Spoken English, TOEFL, French, German, Hindi, Punjabi","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world. While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. "
Vectors Academy                  ,N/A,N/A,Ballabhgarh,"SCF-77, 2nd Floor, Above More Departmental Store, Near ICICI Bank, Sector 49, Sainik Colony, Faridabad, 121001",Delhi, 121001,India,,"Civil, Mechanical, Mathematics, Electronics, Computer, Physics, Biology, Chemistry, IIT JEE Advanced, AIEEE, IIT JEE Mains, Zoology, AIPMT, Medical Entrance Exams","
	A premier institute for IIT JEE and MEDICAL preparation. It is the institute run by IITians. Founder is Prashant Shreshtha who is an IIT alumni who has B.Tech degree from IIT and has 8 years of experience. Just opened the institute in Faridabad,Sainik Colony."
Asoe - A State Of Education                  ,N/A,N/A,Faridabad City,"182, Hbc, Sector 10, Faridabad",Delhi, 121004,India,,"Civil, Computer, Electrical, Electronics, IT, Mathematics, Mechanical","A STATE OF EDUCATION was established in year 2014 under the aegis of “ASOE Tutorials” to serve the society with up skilled education and transforming students into technocrats, managers and above all a disciplined human being. Through the continuous improvements, we have also understood the true needs of the students to make them eligible for future aspects. ASOE is a comprehensive institute to facilitate and promote education in emerging areas of professional teaching with focus on new frontiers of science, technology, engineering, management, administration, leading to evolution of enlightened scholars. We have been actively involved with social causes since our inception and have drawn appreciation from one and all for the work in various social paradigms."
International Institute Of English Language                  ,N/A,N/A,Faridabad Nit,"5M/116, Cafe Coffee Day, Opposite K.L. Mehta Dayanad College, N.I.T. Faridabad",Delhi, 121001,India,,"Business English, Corporate Communication, Effective Communication, Public Speaking, Spoken English","
	International Institute of English Language helps to learn English and personality so that they can achieve growth in their professional world."
Educare                  ,N/A,N/A,Jawahar Colony Faridabad,"Educare Just Opposite To Chandani Garments,
Jawahar Colony, Faridabad, 121005",Delhi, 121005,India,,"Algebra, Mathematics, Physics","
	Educare welcomes students who are prepared to interface their experience and diverse backgrounds with our high-end educational programmes."
Case Extraminds Edusocial                  ,N/A,N/A,Badshahpur,"Charmwood Plaza, Charmwood Village
Surajkund, Badshahpur, Faridabad, 121009",Delhi, 121009,India,https://www.myprivatetutor.com/userfiles/centers/center146640070916337.png,"Accountancy, Biology, Chemistry, Economics, Physics, Mathematics, Social Studies","
	Case Extraminds Edusocial Ltd has come up with top-notch educational DVDs for students from VII to XII standard. The video lectures cover new CBSE syllabus for the academic session (2015-2016) and are inclusive of textbook lessons, solved examples, notes, labeled diagrams and animated experiments."
The Winner Educational Institute (an Authorized Study Centre Of All India Computer Saksharta Mission)                  ,N/A,N/A,Ballabhgarh,"Tigaon Road, Near Bhagat Singh Para Med Institute, Ballabgarh, Faridabad",Delhi, 121004,India,,"Advanced Excel, Basic Computer, Computer for official job, MS Office, Tally ERP 9","Tigaon Road, Near Bhagat Singh Para Med Institute, Ballabgarh, Faridabad"
Study Hub                  ,N/A,N/A,New Industrial Township,"Shop No 67
Nit 5
Faridabad",Delhi, 121002,India,,"Accountancy, Business Studies, Commerce Subjects, Economics","
	As an institute Study Hub is located in new industrial township, Faridabad and we provide tuitions classes from 6th to 10th all subjects and 11th 12th accountancy and commerce subjects."
Haryana Kickboxing Association                  ,N/A,N/A,Faridabad City,"Govind International School, Sector 46, Faridabad",Delhi, 121001,India,,Boxing,"
	Haryana Kickboxing Association works with the prime objective of promoting Kickboxing as a main sport in the state of Haryana. We offer intensive practice sessions in order to help our students excel in their learning. We offer intensive training sessions that are conducted by our certified instructors. Our self defense classes are designed to suit ladies or anyone who feel overwhelmed in traditional martial arts."
Escort Swimming Pool                  ,N/A,N/A,Sector 12,"Sports Complex, Court Road, Faridabad Sector 12, Faridabad",Delhi, 121007,India,,Swimming,"
	Escort Swimming Pool is a famous institute offering swimming classes for students of all age groups. We provide specialized solutions based on the needs of the students. We make sure to impart the correct knowledge in our students so that they can at least take up the swimming as an exercise."
Sai Sanskar                  ,N/A,N/A,Faridabad City,"Sai Vatika, A-93, Ashoka Enclave- I I, Sector 37 Faridabad",Delhi, 121003,India,,"Basic Computer, Creative dance, Bollywood, Western Dance, Guitar, Instrumental, Modern Songs, Piano, Western Classical Music","
	Sai Sanskar is an educational institute offering kids with a training experience of international level. Our innovative training methodologies, joyous ambiance not only delights but also energizes kids. Our world class infrastructure helps kids to unleash their creativity and innate skills in a free and spirited way. We keep kids engrossed by letting them enjoy their learning and playing through various interesting and exciting themes. We believe in encouraging students to do significant things through fun filled activities, keeping in mind that every student is special and unique. It is our goal to impart quality of education, which is more than imparting knowledge."
Sincere Kids Academy                  ,N/A,N/A,Sector 7,"No. 2328, Sector 7 A, Housing Board Colony, Faridabad",Delhi, 121006,India,,Basic Computer,"
	Sincere Kids Academy is a reputed academy offering intensive coaching service in Computer programs. Our tutoring approach is not limited to a single methodology, but We select the methodology or the right combination of methodologies that are right for a child's needs. We involve several modernized teaching methods which makes the class more interactive and interesting for the students."
Msd Institute                  ,N/A,N/A,Faridabad City,"Ashoka Enclave Main, Sarai Khwaja Near Kanishka Towers, Faridabad",Delhi, 121001,India,,Basic Computer,"
	MSD Institute is providing students of all age groups an excellent opportunity to polish and brush up their English communication skills through our English speaking and personality development programs. Apart from this we also conduct classes in a wide range of Indian dance forms. We involve different new and innovative methods of teaching so that the students are fully involved the the learning process."
Vrinda Institute Of Cultural Arts                  ,N/A,N/A,Sector 49,"H.no-3983, Block- K, Mpart- I I, Sainik Colony, Near Dav Public School, Sector 49, Faridabad",Delhi, 121001,India,,"Basic Computer, Creative dance, Folk Dance, Bollywood, Odissi, Flute, Instrumental, Piano, Singing, Tabla","
	Vrinda Institute of Cultural Arts is a well established and dedicated cultural training institute. The institute was founded with the sole purpose of offering quality training services for art lovers and provide them with long term certificates and degrees. We conduct classes in small batches with four students per batch. Our primary objective is to offer quality training at an affordable cost."
The Learning Club                  ,N/A,N/A,Sector 29,"1371, Sec-29 Faridabad Near Holy Child Public School, Faridabad",Delhi, 121008,India,,"Basic Computer, Creative dance, Folk Dance, Bollywood, Odissi, Western Dance, Arts & Crafts, Candle Making, Cooking & Baking, Drawing & Painting","
	The Learning Club serves as a one stop training center for kids as well as adults. At The Learning Club the atmosphere is fun and informal. Our training approach is is simple, modern and imaginative. We conduct classes for all age groups and has designed various flexi modules to make performing arts accessible to a larger audience."
Bnk Art Craft                  ,N/A,N/A,Sector 16,"1876, Sector 16, Faridabad",Delhi, 121002,India,,"Cooking & Baking, Drawing & Painting","
	BNK Art Craft offers a variety of courses such as Art and Craft classes, Cooking and Baking classes, candle making, chocolate making. Our courses are available both for children as well as adults. We generally conduct group learning sessions but on the special requirements of the students we also conduct individual classes. For each and every course the required materials are provided by us."
Colors N Creations                  ,N/A,N/A,Old Faridabad,"Sears 605, Omaxe Heights, Sector 86, Faridabad",Delhi,,India,,"Western Dance, Arts & Crafts","
	Colors N Creations is a creative educational institute offering individualized lessons for Art and Craft classes. Apart from this we also offer classes in several dance forms such as Western Dance, contemporary, freestyle, hip hop, jazz and many more. We prefer offering private one to one sessions as through this the individualized requirement of the students are well attended."
Kala Safari                  ,N/A,N/A,Faridabad City,"Scf -140, Basement, Sec- 17 Huda Mkt., Below Muthoot Finance",Delhi, 121001,India,,Arts & Crafts,Attention to each students progress.
Tuition Centre                  ,N/A,N/A,Old Faridabad,NIT 3 Faridabad Police Station,Delhi, 121001,India,,Arts & Crafts,"
	Art and Craft Classes designed develop your skills and fill your world with pleasure !"
Lil Einsteins Play School                  ,N/A,N/A,Faridabad City,"SCF 857, Sector 17, Faridabad In Huda Market",Delhi, 121001,India,,Arts & Crafts,Attention to each students welfare.
Kreative Tantra                  ,N/A,N/A,Faridabad City,"Plot No. 735, Sector 10, Near 7 & 10 Chowk",Delhi, 121006,India,,"Instrumental, Western Dance, Arts & Crafts",Effective teaching methods and feedback to Guardian.
Dance Zone Academy                  ,N/A,N/A,Greenfields,"The Play School, Green Field Colony",Delhi, 121001,India,,"Instrumental, Arts & Crafts",Attention to each students welfare.
Images Modern Art Studio                  ,N/A,N/A,Sainik Colony,"B - 608, Sector 49 Sainik Colony",Delhi, 121001,India,,"Arts & Crafts, Drawing & Painting",Comprehensive learning programme
Kreations                  ,N/A,N/A,Old Faridabad,"Omaxe Heights, Near Sai Mandir",Delhi, 121001,India,,Arts & Crafts,Learn from the experts
Meetart                  ,N/A,N/A,Faridabad City,"876, Sector - 15 Near St Albans School",Delhi, 121007,India,,"Arts & Crafts, Cooking & Baking, Drawing & Painting","
	Impress your friends by opting our programme in the Art and Crafts!"
Achievers Institute                  ,N/A,N/A,Faridabad City,"Dso 1 , Hudda Market Part 1, Chungi,",Delhi, 121002,India,,Mathematics,"
	Achievers Institute is a reputed tutorial/coaching based in the city of Faridabad for school and college level segment/subjects. We have excellent faculty and shortcuts & time-saving techniques."
Loops N Knots                  ,N/A,N/A,Faridabad City,"240, Near Mother Dairy",Delhi, 121006,India,,"Arts & Crafts, Candle Making, Cooking & Baking, Drawing & Painting, Model Making, Pottery, Sculpture Making",A fantastic world of culture and learning !
Prayas Academy                  ,N/A,N/A,Sector 15,908/15A,Delhi, 121006,India,,"Chemistry, English, Mathematics, Physics","We are operating from the heart of city for the last 16 yearsWe takle academic coaching classes for class IV-XII our faculty comes from most renowned schools of the city ,we also have specialist free lance teachers for individual subjects"
