Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Hand In Hand                  ,N/A,N/A,Indirapuram,"Mahavid Villa, 404, Nitikhand-2 Indirapuram, Near Swarn Jayanti Park",Delhi, 201010,India,,N/A,Comprehensive learning programme for your best benefits.
Mickey Einstein Activity Center                  ,N/A,N/A,Indirapuram,"#02222 ATS Advantage, Indirapuram Shipra Mall, Presidium School",Delhi, 201014,India,,N/A,"
	Copy from website"
Serra International Pre School                  ,N/A,N/A,Raj Nagar,R-5/10 Raj Nagar Ghaziabad,Delhi, 201002,India,https://www.myprivatetutor.com/userfiles/centers/center1461749664.jpg,Summer Camps,"
	Serra International Pre School is an educational institute for children promoting the early childhood education system of the country. We follow a unique method of pedagogy and cater to the growing segment of quality conscious parents, who desire a holistic experience in the formative years of their child's life. We follow inquiry based learning and teaching method which is globally accepted."
Art Workx                  ,N/A,N/A,Raj Nagar,"1-A, Raj Kunj, Raj Nagar",Delhi, 201002,India,,"Robotics, Summer Camps","
	Art Workx is a well established education organization based in Ghaziabad. We offer comprehensive training a wide range of courses. Our classes are specially designed for kids keeping in mind their learning priorities. We conduct sessions in small batches so that more focus can be placed on individual student and their requirements."
Olympia Academy                  ,N/A,N/A,Dadri,"N.t.p.c, Dadri, Ghaziabad, 201008",Delhi, 201008,India,,"Mathematics, Physics",N/A
Srish Tuition Center                  ,N/A,N/A,Vasundhara,"Hno.667, Friends Society, Sector-12, Vasundhra, Ghaziabad, 201012",Delhi, 201012,India,https://www.myprivatetutor.com/userfiles/centers/center147041423316357.png,"All Subjects, English, EVS, Geography, History, Mathematics, Science, Chemistry, Computer Science, Physics, Biology","
	Srish Tuition Center was established with the sole and sacred objective of imparting quality education to the students."
"Wave Coaching, Indirapuram                  ",N/A,N/A,Indirapuram,"7041 ATS ADVANTAGE AHINSA KHAND
INDIRAPURAM",Delhi, 201014,India,,"Biology, Chemistry, Mathematics, Physics, AIEEE, AMIE, CET, GATE Exam, IIT JEE Mains, AIPMT, Medical Entrance Exams","
	Wave Coaching, Indirapuram provides real-time teaching environment that has all the elements of Classroom Coaching. Student can ask Doubts in the Classroom as well as separately out of class. A course designed for the students keeping in mind the new competition levels & pattern of the examinations."
Brainiac Coaching Classes                  ,N/A,N/A,Crossing Republik,"3027,tower 2, Gh7, Crossing Republik, Ghaziabad - 201016",Delhi, 201016,India,https://www.myprivatetutor.com/userfiles/centers/center146562037716238.jpeg,"Mathematics, Physics","3027,tower 2, Gh7, Crossing Republik, Ghaziabad - 201016"
Indo Academy                  ,N/A,N/A,Shastri Nagar,"A Block, House No.-7, Hapur Road, Shastri Nagar, Ghaziabad, 201002",Delhi, 201001,India,,"Business English, IELTS, Public Speaking, Spoken English, TOEFL","
	Indo Academy helps the students to develop their English and helps them to do better in their professional world."
Ns Coaching Center                  ,N/A,N/A,All Areas,"B-7 New Punchwati
Ghaziabad",Delhi, 201001,India,,"Bio Technology, Biology, Chemistry, Mathematics, Physics","
	NS Coaching Center we try to provide better education with the clear knowledge. Help student score better and in deciding field of interest. And besides this, also prepare him for competitive examination. So that the student will always ready to face future challenges."
