Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Concept N Solution                  ,N/A,N/A,Sector 49,"The Sapphire Mall 5th Floor Office No 521, Sector-49 Gurgaon",Delhi, 122018,India,,"Chemistry, Mathematics, Physics, AIEEE, IIT JEE Mains, AICEE, AIPMT, MCI Exam, Medical Entrance Exams","

		Expert and dedicated faculty team 

		Small batch of 5-7 only 

		Regular tests/assignments 

		Finish course in 3 months 

		We revise 4 times to secure always top position 
"
Academy Of Commerce - Gurgaon                  ,N/A,N/A,Sector 14,"Nm 14, Sector 14, Old Dlf Colony",Delhi, 122001,India,https://www.myprivatetutor.com/userfiles/centers/center1430560021.jpg,"ACCA, CA - CPT, CA - Final, CA - IPCC, CFA, CFP, CIMA Certification, CMA Final, CMA Foundation, CMA Intermediate, CMA-CPA-ACCA-CIMA, CPFA, CS - Executive, CS - Foundation, CS Professional, Direct Tax Laws, ICWA & ICWAI, Accountancy, Business Maths, Business Organisation, Business Studies, Commerce S... More [+]","
	AOC is a reputed brand in providing CA professionals quality training to students. Our institute promises to enhance CA professional’s relevance, eminence and confidence by providing leadership qualities that helps students to support the functional breadth and technical depth required for the CA profession. The institute envisages bringing together the best practices that deliver quality knowledge solutions for all students."
Schoolpage Tutorials Gurgaon                  ,N/A,N/A,Acharya Puri,Gurgaon 122005,Delhi, 122005,India,https://www.myprivatetutor.com/userfiles/centers/center1427456442.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","School Page Gurgaon is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world. While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches.

There are many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the School Page team worked with other global academics to create the unique School Page e-Tutoring System (the STS), which is based on Richard E. Mayers Cognitive Theory of Multimedia learning.

The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes and learning outcomes that are highly student-centric."
Lets Go                  ,N/A,N/A,Old Dlf Colony,"282, Sector 28 Gurgaon, Galleria Market Road Near Hamilton Court, Opposite Sheeba Apartments",Delhi, 122001,India,,"Abacus Training, Communicative English, Personality Development, Speech & Drama, Spell Bee Training, Acting & Drama, Arts & Crafts, Candle Making, Cooking & Baking, Drawing & Painting, Horticulture, Model Making, Photography, Pottery, Sculpture Making, Tailoring & Knitting","
	Expert designed curriculum and competent teachers."
Ida Preschool And Day Care                  ,N/A,N/A,Old Dlf Colony,"S-3117, D L F City, Phase I I I",Delhi, 122002,India,,"Abacus Training, Communicative English, Handwriting, Language, Mental Maths, Personality Development, Speech & Drama, Spell Bee Training, All Subjects","
	Ida Pre School is the result of the unique vision to bring in new and effective methods of early childhood care and education in India. It is a platform for childhood explorations. The emphasis is on surrounding each child in a responsive and positive environment that nourishes their imagination and promotes self-discovery. Our aim is to do our bit in creating capable and noble human beings for the future."
Magic Creations                  ,N/A,N/A,Sohna Road,"167 A, Basement, S Block, Uppal's Southend, Sohna Road, Behind Omaxe Srs Mall",Delhi, 122018,India,,"Acting & Drama, Arts & Crafts, Drawing & Painting, Horticulture, Model Making, Photography, Pottery, Sculpture Making, Summer Camps","Wide range of well researched courses developed for children of a wide age group. The classes are meant to develop the child in an all round way.
	"
My Club Spark                  ,N/A,N/A,Sikanderpur,"1106, G-19, D L F Phase 1, G-Block",Delhi, 122002,India,,N/A,Well researched programmes with full involvement of Guardians.
Rhythm N Melody                  ,N/A,N/A,Sector 31,"Plot No. 611, Near Sector 31 Market, Mother Dairy",Delhi, 122001,India,,"Bharat Natyam, Creative dance, Western Dance, Indian Classical Music, Instrumental, Modern Songs, Singing, Western Classical Music","
	Special attention for grooming all the students."
Raga Ratnam Creative Arts                  ,N/A,N/A,Sector 14,"406, Sector 14, Gurgaon",Delhi, 122001,India,,"Abacus Training, Communicative English, Mental Maths, Personality Development, Speech & Drama, Spell Bee Training, Acting & Drama, Adventure Camps, Arts & Crafts, Candle Making, Horticulture, Model Making, Palmistry, Pottery, Summer Camps, Tailoring & Knitting",The inherent artistic potential of our students are brought out into the open at Raga Ratnam. All segments of learners are able to get the taste of beautiful artistic endeavour and pursue them to its best.
Cloudsa Solutions                  ,N/A,N/A,All Areas,"629, JMD MEGAPOLIS, Block A, Sector 48, Haryana 122018",Delhi, 122018,India,,"CCNA Certification, Cisco certification, Microsoft Certification, Oracle Certification, Sun Certification","629, JMD MEGAPOLIS, Block A, Sector 48, Haryana 122018"
Career Plus Institute Of Stenography                  ,N/A,N/A,Subhash Nagar,"Flat No. 6, Wmg Tower, Behind Arogyam Hospital, New Railway Road, Gurgoan",Delhi, 122001,India,,"Advanced Excel, Basic Computer, Computer for official job, MS Office, School level computer, Spoken English","
	Career Plus Institute of Stenography is located in Gurgaon. We are specializing in Stenography for English and Hindi language. Apart from this we are also catering in basic computer courses and spoken english classes."
Ap Edusoft Software Solutions                  ,N/A,N/A,Sector 14,"M-18, 2nd Floor, OLD DLF COLONY, Sector -14, Gurgaon",Delhi, 122001,India,,"Android Training, BCA Subjects, iOS Training, MCA Subjects, Software Testing","
	AP Edusoft Software Solutions offers a wide range of innovative technology and global IT solutions according to the customer needs and keeps in tune with the fast paced technology. We are here provide customized solutions for large, medium and small scale businesses. We also design-develop-deliver projects, products and implement end-to-end solutions to customers in a variety of industries."
Dezine Careers                  ,N/A,N/A,Sector 43,"104 D 2ND FLR
SOUTH CITY 2 SECTOR-49",Delhi, 122018,India,,"Graphic Designing, Illustrator, Photoshop","
	As an institute Dezine Careers caters to various Graphics & Multimedia courses."
Vidya Bharti Educational Institutions                  ,N/A,N/A,All Areas,"Flat 3 ,canal Colony ,sec 14",Delhi, 122001,India,,"Chemistry, Economics, English, Mathematics, Physics","
	As an institute Vidya Bharti Educational Institutions always effort to see the smiles on the faces of less fortunate's, an institution to assist, guide and support everyone through education."
Early Engineers                  ,N/A,N/A,Sector 22,"Basement (rear Entry), No.188, Sector-22 A, Huda Market",Delhi, 122015,India,,Robotics,"
	Early Engineers works with the believe that every individual needs the right channel and direction to realize its true potential. We work with the objective of empowering our children through providing this much needed channel by providing a platform which helps them explore their natural creativity in a fun-filled way. We mainly offer courses like Robotics, Software Engineering, Video game design and Engineering Concepts for children age 5-14 years. Every course that we offer is planned keeping in mind some activity, interactive learning, presentation, discussion and fun quotient and various other factors enhancing the learning potential of the students."
