Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Agarwal Tuition Classes                  ,N/A,N/A,A. T. Road,"Room No 6(C), Above Pnb Bank, City Trade Center, A. T. Road, Guwahati",Delhi, 781001,India,,"Advanced Excel, Basic Computer, Computer for official job, MS Office, School level computer, Computer Science, IT & Computer Subjects, B.Sc Tuition, BCA Tuition, M.Sc Tuition, M.Tech Tuition, DBMS & RDBMS, Oracle Training, PL/SQL, .Net, C, C++, C# (C Sharp), Java and J2EE, Visual Basic, MCA Subjects... More [+]","
	Agarwal Tuition Classes has emerged as a pioneer in Professional coaching for CA, CS, CMA, Banking and SSC Students in North East. provides high-quality computer training at a very high standard with an affordable cost. It is our goal to provide knowledge and guidance and thereby create an environment to guide students in the path of success as well as inspire them to recognise and explore their own potential of their intellectual capabilities."
Eastern Fare Music Foundation                  ,N/A,N/A,Azara,"House No 14,  Noonmati Bus Stand, Kamakhya, Guwahati, 781020",Delhi, 781020,India,,"Western Classical Music, Modern Songs, Indian Classical Music, Drums, Violin, Singing, Keyboard, Guitar, Tabla, Piano, Instrumental, Flute, Western Dance, Creative dance, Kathak, Bharat Natyam, Folk Dance","
	Apart from graded courses from Trinity College, London, Eastern Fare has been training students the contemporary style of music for both vocals and instruments. With the experience of more than 10 years in teaching music, the structured course created by the teachers, has been considered one of the best and toughest music courses in India."
Rm Institute Guwahati                  ,N/A,N/A,Tarun Nagar,"House No. 6, Bye Lane 2, 3rd Floor, Tarun Nagar, Guwahati, 781005",Delhi, 781005,India,,"Accountancy, Business Studies, Commerce Subjects, Economics, B.Com Tuition, B.Sc Tuition, BBA Tuition, Biology, Botany, Business Maths, Chemistry, Computer Science, Costing, Mathematics, Physics, Zoology, Bank Clerical, Bank PO, IBPS, PSU Exam, RBI Exam, SSC Exams","
	RM Institute Guwahati, as an institute offers education to the students for the Guwahati region. We not only provides quality education to the student but also helps them to prepare for their career."
Opus Guwahati                  ,N/A,N/A,Lachit Nagar,"G. S. Road,  H.no-9, Opposite To Lachit Nagar Hanuman Mandir, Lachit Nagar, Guwahati, 781007",Delhi, 781007,India,,Fashion Study,"
	OPUS began with a vision to provide students with world class training in a local setting. Our mentors are constantly engaged with you and they will support you throughout that journey that it takes to crack these tests. Our mentors are from leading institutions of India, Which Includes NIFT (Delhi) , IIT Guwahati and M.S.University of Fine arts.We assure you that no other training institute has achieved these figures here. Our passion is to teach and we are dedicated to get you admitted in your dream school."
Agarwal Coaching Centre                  ,N/A,N/A,Ulubari,"House No 14, Nissa Mension, Ashram Road, Ulubari, Guwahati",Delhi, 781005,India,,"CA - IPCC, CMA Foundation, CS - Executive, CS - Foundation, CS Professional","
	We are established to serve our clients with best of education. Out intensive coaching program is dealt with diligence and support for superior leaning. We provide well researched and comprehensive study material and practical sessions at affordable course fee. We deliver experiential learning and groom in building an ever-expanding knowledge."
Oriental Tutorial                  ,N/A,N/A,Dhirenpara,"Katahbari, J.b. Plaza. A.K. Deb Road Garchuk, Opposite To Bajaj Showroom, Guwahati",Delhi, 781035,India,,Mathematics,"
	As an institute Oriental Tutorial is located to Guwahati. We provide coaching for class KG to PG."
Aj Classes Of Commerce                  ,N/A,N/A,Tarun Nagar,"H.No. 24, 3rd Floor, Shree Nagar Main Path",Delhi, 781005,India,https://www.myprivatetutor.com/userfiles/centers/center146359899316132.jpg,"Accountancy, Business Studies, Commerce Subjects, Costing, Economics","
	AJ Classes of Commerce as an institute helps the student to expertise in the domain of commerce. We not only helps the student to become efficient in the commerce field but also helps them to be professionally smart."
Adhyan Academy                  ,N/A,N/A,Athgaon,"Fatasil Ambari Tiniali
Guwahati Metro 
Kamrup
Assam -781025",Delhi, 781025,India,,"Biology, Chemistry, Economics, Mathematics, Physics","
	We are the leading institute of Guwahati providing training in subjects from first standard to 12th standard and in all streams of graduation and post-graduation. Elite academy was established in last decade with the sole purpose of providing good education to every deserving candidate."
Career Flite                  ,N/A,N/A,Pan Bazaar,"Urban Grand, Danish Road,Panbazar",Delhi, 781001,India,,"Bank PO, IBPS, RBI Exam, SBI Exam, SSC Exams","

		Updated Study Materials 

		Expert Faculty 

		Class Worksheets 

		AC Classrooms 

		Shortcut Techniques
"
Digitech                  ,N/A,N/A,Birubari,"B.G. Road, Bamgoan",Delhi, 784176,India,https://www.myprivatetutor.com/userfiles/centers/center1446267002.jpg,"All Subjects, Computer Science, Mathematics, NTSE, English, IT & Computer Subjects, Bank Clerical, IBPS, IIT JEE Mains, SSC Exams, Animation, C, C++, DTP, Graphic Designing","
	1. Multimedia Classroom 

	2. Customized software to monitor your progress and drawbacks 

	3. Customized Study Materials

	4. Key point Notes

	5. Memory Notes"
Easystreet Tutor                  ,N/A,N/A,Maligaon,"Jaluk Bari 
Guwahati 781001",Delhi, 781001,India,https://www.myprivatetutor.com/userfiles/centers/center1446707450.png,"All Subjects, Biology, Chemistry, Economics, English, Pharmacy, Zoology","
	Easystreet Tutor is a reputed coaching based in the city of Guwahati for school and college level subjects. We are a committed group of people working tirelessly to provide quality education to students. Each students feel free to connect to their teachers and rectify their problem areas."
