Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Oxford Tuitions                  ,N/A,N/A,Mahalaxmi Nagar,"R-36 , Mahalaxmi Nagar, Indore, MP
Near Bombay Hospital",Delhi, 452010,India,https://www.myprivatetutor.com/userfiles/centers/center1432018874.png,"ACCA, CA - CPT, CA - Final, CA - IPCC, CIMA Certification, CMA Final, CS - Executive, CS - Foundation, Direct Tax Laws, ICWA & ICWAI, Accountancy, Chemistry, Commerce Subjects, Computer Science, English, Hindi, Mathematics, Physics, All Subjects, History, Economics, AIEEE, AMIE, BCA Entrance, GATE E... More [+]","
	We welcome students who are prepared to interface their experience and diverse backgrounds with our high-end educational programmes, for their transformation to a developed personality prepared to face not only competitive examinations but also succeed in modeling successfully their respective career paths. "
Arena Animation                  ,N/A,N/A,Cgo Complex,"Near Tower Square, Above Idbi Bank, Bhawarkuan Main Road, Indore, 452014",Delhi, 452014,India,,"Adobe Certification, 2D Animation, 3D Animation, 3D Max / Maya, 3D Printing, Adobe Tools, Animation, Ansys, AutoCAD  Training, Corel Draw, CSS Training, Dreamweaver, DTP, Flash, Games Development, Graphic Designing, HTML Training, Illustrator, Multimedia, Photoshop, Special Effects, Video Editing, W... More [+]","Near Tower Square, Above Idbi Bank, Bhawarkuan Main Road, Indore, 452014"
Webnomysis                  ,N/A,N/A,Palasia,"B-4 ,2nd Floor, Chaturvedi Mansion,Opposite Hyundai Showroom,Old Palasia, AB Rd, Old Palasia, Indore, Madhya Pradesh 452001",Delhi, 452001,India,,".Net, C, C++, Java and J2EE","B-4 ,2nd Floor, Chaturvedi Mansion,Opposite Hyundai Showroom,Old Palasia, AB Rd, Old Palasia, Indore, Madhya Pradesh 452001"
Career Guru Education Consultancy Pvt. Ltd.                  ,N/A,N/A,Palasia,"204 - B, 3rd Floor Gravity Tower, U-turn Showroom, Zanjeerwala Square, Indore, M.P.",Delhi, 452001,India,,IIT JEE Mains,"
	Career Guru is an education consultancy which deals with home tutors and faculty recruitment. It also gives education, career and personal counselling. Career Guru gives you a better view to your future."
First Step Coaching Classes                  ,N/A,N/A,Sangam Nagar,"97- B, Sangam Nagar, Near Jain Temple, Indore",Delhi, 452006,India,,"Biology, Chemistry, Commerce Subjects, Mathematics, Physics","
	First Step Coaching Classes as an institute deals with the student who cater to the school level subject and segment. We not only look after providing quality education but also make them understand about what does it take to get success in the professional world."
Study Metro                  ,N/A,N/A,Palasia,"517, 5th Floor, Shekhar Central, AB Rd, Manorama Ganj, Indore, Madhya Pradesh 452018, India.",Delhi, 452001,India,https://www.myprivatetutor.com/userfiles/centers/center1462875454.png,"GMAT, GRE, IELTS, SAT, Study in USA","
	Study Metro is a professional education consultancy firm, extending excellent support and service to students all over India and gives unlimited study opportunities across the Globe. Our aim is to improve educational standards. Scores of parents have sought our advice to find suitable Universities for their children. Study Metro helps students to make the right overseas education decisions. Our expertise in the field of overseas education has made us a time-tested resource in helping students to gain admission for suitable courses in recognized universities across the globe. Choosing a University is one of the most difficult decisions a student faces in his life. We not only offer quality education, but also help students to develop the required skills needed for admission. We establish strong working relationship with foreign educational institutions for the proper placement of our client students. Our intent is to place the right student into the right institution for the right reason. In order for you to make the best & the right choice, we study your case on the basis Via personal contact with the parent's and the students and recommend the most appropriate college, University and programs corresponding to the Desires , Ability and Motivation. We work diligently to provide our students with a ""One stop solution to foreign education"". We are one of the leading education consultancy firms in India, which is renowned, reputable, trustworthy, caring and professional education consultancy, where students & working professionals can avail all overseas education related services at one stop for the admission and visa process for abroad Universities. Our industry experts and trained counselors help students to select the right destination and appropriate qualification according to their previous qualification and experience. We believe in the core value underlying our philosophy of the very word Confluence. It is therefore our responsibility to ensure that the organization is managed in a manner that protects and furthers the interests of all our associates Employees, Students, Fellow Consultants & Institutions."
Viya's Montessori                  ,N/A,N/A,Shri Nagar Extension,"202 Classic Heights 
5 Shreenagar Extension",Delhi, 452018,India,,"All Subjects, Computer, English, Mathematics, Special Education","
	Viya's Montessori is a well reputed educational institute for kids offering various training programs. The courses are designed in the most unique manner making them much more interesting and different from the normal similar courses offered in other institutes."
Web Next Technology                  ,N/A,N/A,Tukoganj,333 B Indraprastha Tower 6 MG Road,Delhi, 452001,India,,"C, C++","
	Web Next Technology is providing professional training, summer training to students of BSC, MSC, BCA, MCA, BSC (Computer Science) and IT professionals. The courses we offer are job oriented software training programs which are well planned keeping in eye the industry requirements and future prospects. We started the training division to become a bridge between the skills required by the best IT companies require and the talent created by Engineering, BCA, MCA colleges. We do not guarantee for job but we make them worth of it."
Udaan Classes                  ,N/A,N/A,Kalani Nagar,"178-A, Kalani Nagar, Near Sanchi Point Square, Opp. SBI ATM, Airport Road",Delhi, 452005,India,,"Economics, English, IT & Computer Subjects, Mathematics, Physics","
	We are at Udaan working for excellence in education. We taught with innovation, unique methodology and we have expertise in our field. We just not teach but also develop good leaders and humans for building better nation. We have experienced faculty members from diversified fields like Engineering, Science, Commerce, English literature background and having more than 5 years of experience in their respective fields. "
Gauranga Institute                  ,N/A,N/A,Sector A,"157, Mahadev Totla Nagar, Kanadia Road, Bengali Square",Delhi, 452016,India,https://www.myprivatetutor.com/userfiles/centers/center145522710314962.jpg,"CA - CPT, CA - Final, CA - IPCC, CMA Foundation, Chemistry, Commerce Subjects, Mathematics, Physics, Bank Clerical, Bank PO, MPPSC, UPSC Exam, IIT JEE Mains","
	Gauranga Institute offers unique and perfect combination of Culture and Technology to students for being human having Competencies as well as Character. That means at Gauranga Institute we not only provide information and knowledge but also wisdom. Our curriculum is profoundly researched under the project ""Youth Development Programme - A Practical Learning Stance. Realizing the drawbacks of theoretical nature of our education we did a research project titled, ""Youth Development Programme - A Practical Learning Stance"". The research found twenty-five areas in which students are lacking to acquire and/or apply the knowledge and/or skills required in practical life situations for full participation in the society. The research also found fifty methods through which the knowledge and skills in those areas can be given to students. Based on these findings we built a Development Programme for youth."
