Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Mind Tree Academy                  ,N/A,N/A,Arjun Nagar,"J-47 , Ganesh Path, Tagore Nagar,ajmer Road,",Delhi, 302024,India,https://www.myprivatetutor.com/userfiles/centers/center1453971632.jpg,"Abacus Training, All Subjects, Mathematics, Mental Maths, Biology, Chemistry, Physics, SSC Exams","
	- Special attention to weak students. 

	- Laboratory facility for better understanding in science. 

	- Before final exams we take major and mock tests."
Ruhi Ma'am Maths Classes                  ,N/A,N/A,Shyam Nagar,"F-209 Mithla Path
Shyam Nagar Ext.
Sodala Jaipur",Delhi, 302019,India,,"Mathematics, AIEEE, BITSAT, CET, IIT JEE Advanced, IIT JEE Mains","F-209 Mithla Path
Shyam Nagar Ext.
Sodala Jaipur"
Leo Tutorial                  ,N/A,N/A,Tilak Marg,R-2 Tilak Marg     C Scheme.,Delhi, 302001,India,https://www.myprivatetutor.com/userfiles/centers/center1452578674.png,"Biology, Botany, Chemistry, Mathematics, Physics","Leo Tutorial provides coaching based tutorial in the city of Jaipur in KG to Plus two level. We also specialize in the domains of BBA, B.Com, French, English Speaking, Craft, Drawing, Dance, Yoga, Aerobics etc. Leo Tutorial is your friend in need and you are going to enjoy the experience !"
Papple Pies                  ,N/A,N/A,Ashok Nagar,"165 Gayatri Nagar First, Durgapura, Jaipur",Delhi, 302018,India,,Summer Camps,"
	Pappli Pies has developed various after school activities specially designed for young children. We always strive towards creating and providing a safe and healthy day care space for children apart from a quality learning structure in the after school care program. We offer fun filled, safe environment with indoor and outdoor activities, where he or she can continue to explore, learn and build close friendships."
Innovation Station                  ,N/A,N/A,Malviya Nagar,"Building 33-36, Lal Bahadur Nagar (West), Avenue 1, S L Marg, Malviya Nagar, Jaipur",Delhi, 110017,India,,Summer Camps,"
	Innovation Station is a well reputed educational institute where geniuses are created. Our aim is to inspire children to become future science and technology leaders, by engaging them in various stimulating hands-on programs that build Science, Technology, Engineering, Mathematics skills, inspire innovation, and instill well-rounded life capabilities including self-confidence, communication, and leadership."
Schoolpage Tutorials                  ,N/A,N/A,22 Godam,Jaipur 302017,Delhi, 302017,India,https://www.myprivatetutor.com/userfiles/centers/center1407740177.jpg,"Chemistry, English, Mathematics, Physics, IELTS, Spoken English, TOEFL, French, German, Hindi, Spanish","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world.While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayer’s ‘Cognitive Theory of Multimedia Learning’. The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes, and Learning Outcomes that are highly student centric."
Institute Of Financial Studies                  ,N/A,N/A,Akhepura,"C 19 Lotus Villah, Pankaj Singvi Mark, Lalkothi, Jaipur, Rajasthan 302005",Delhi, 302005,India,https://www.myprivatetutor.com/userfiles/centers/center1472211695.jpg,"CFA, Actuarial Science, Banking & Finance, Business Maths, Financial Management, Statistics, MBA Entrance, MHA, MTTM","
	The formal higher education system has some inherent short comings like it does not keep pace with rapidly changing economics, financial domain and market dynamics making it a bit outdated and insignificant, therefore there is precise need for meaningful interface with new developments on regular and sustainable basis. To meet this perceive gap, Institute of Financial Studies, Jaipur has been established in year 2009. Institute of financial studies has been promoted by Deshna Foundation, a registered trust under Indian trust act 1911 to not only promote add on & supplementary education in area of finance but also to provide continuous professional cross functional and inter disciplinary education for enriching the knowledge by taking research projects in area of finance and other related spheres for benefiting society at large."
Study Circle                  ,N/A,N/A,Bhabroo,"Niwaru Road, Jhotwara, Jaipur, 302012",Delhi, 302012,India,,"Mathematics, Hindi, English, Science, Language, Geography, Computer, All Subjects, History, EVS, Computer Science, Social Studies, Economics, Political Science, Basic Computer, MS Office, Accountancy, Business English, Spoken English, Effective Communication","
	Study Circle is located in the city of Jaipur. Our motto is to make education more simpler. We not only make the students examination ready but also our efficient teacher team make them to choose right career path."
Brains Boosters Education Academy Pvt. Ltd.                  ,N/A,N/A,Amba Bari,"E-19, Bank Colony, Near Central Academy, Amba Bari, Jaipur, 302039",Delhi, 302039,India,,"Abacus Training, Handwriting, Language","
	Brains Boosters Education Academy Pvt. Ltd. is located in Jaipur. We cater to various academic enrichment of the students in Japiur locality. We not only makes the students more confident about the subject and segment but also make them prepare for their future."
Aryans Vedic Mathematics                  ,N/A,N/A,Malviya Nagar,"E-27, Siddhartha Nagar, Jaipur - 302017",Delhi, 302017,India,,Mental Maths,"
	Best efforts are being made to remove all the difficulties of Mathematics to make it a playful and interesting subject. Aryans Vedic Mathematics is a wonderful fusion of Vedic Mathematics and Modern Mathematics which provides step wise solution required in school with lightning fast speed and a high degree of accuracy. It also develops interest in Maths Results are visible from day 1, unlike the other programs where few weeks or months are needed. Also it covers most of the difficult portion of Algebra, Arithmetic, Geometry, Trigonometry, Calculus etc."
