Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Metaphor Consulting                  ,N/A,N/A,Sonari,"METAPHOR CONSULTING E-11, 3rd Floor, Ankur Complex, Kagalnagar, Sonari, Jamshedpur",Delhi, 831011,India,,SAP Certification,"
	Metaphor Consulting provides live training and job assurance in SAP across Globe. Sap Training has been established with the sole objective to dedicate itself for quality service in SAP Sector. We share our experiences in the SAP department what we had experience in the industry."
Safe Launcher                  ,N/A,N/A,Bistupur,"Bharat Business Centre, Near Ram Mandir, Beside HDFC Bank 
Bistupur, Jamshedpur, Jharkhand",Delhi, 831001,India,,"Botany, Chemistry, Mathematics, Physics, Zoology, Biology","
	We take care of individual students. All necessary guidance are provided by us. Safe Launcher are here to bring out your best qualities to the fore and rectify the weak areas. Joining our classes will help you build your dream career."
Computer India Software Training & Hardware Maintenance                  ,N/A,N/A,Sakchi,"99, Dharam Arcade, Beside Narayani International, Thakurbari Road,aambagan, Sakchi, Jamshedpur, Jharkhand",Delhi, 831001,India,,"Android Training, Ethical Hacking, Hardware Training, Networking, Unix/Linux","99, Dharam Arcade, Beside Narayani International, Thakurbari Road,aambagan, Sakchi, Jamshedpur, Jharkhand"
Irodov Classes                  ,N/A,N/A,Mango,"Irodov Classes 
Near Suman Hotel , Behind Mishra Clinic 
Dimna Chowk , Mango 
Jamshedpur",Delhi, 831018,India,,"Chemistry, Mathematics, Physics","
	Irodov Classes holds expertise in providing guidance to school level subject and segment and engineering entrance examination. Situated in Jamshedpur, we provide intense training programs for techies to learn and enhance their skills."
R.k Pandey Maths Classes                  ,N/A,N/A,Baridih,"BARIDIH , NEAR SHARP COMPUTERS",Delhi, 831017,India,,Mathematics,"BARIDIH , NEAR SHARP COMPUTERS"
Prayas Coaching                  ,N/A,N/A,Agrico,"45/A  Mills And Godown Area ,bank Of Baroda Building  First Floor ,in Front Of Bank Of Baroda,bhuiyadih,timken Choak,Jamshedpur",Delhi, 831009,India,https://www.myprivatetutor.com/userfiles/centers/center145677379215423.jpg,"Algebra, Physics, Mathematics, Chemistry","45/A  Mills And Godown Area ,bank Of Baroda Building  First Floor ,in Front Of Bank Of Baroda,bhuiyadih,timken Choak,Jamshedpur"
Nemesis Automations Private Limited                  ,N/A,N/A,Golmuri,"H.no- 95,first Floor,golmuri, Masjid Road",Delhi, 831003,India,https://www.myprivatetutor.com/userfiles/centers/center1450518342.jpg,"Computer Science, Electronics, Physics, Polytechnic, Android Training, CCNA Certification, Embedded Systems, Robotics, Auto CAD, Electrical, Mechanical, AutoCAD  Training, MATLAB Training, PLC Training, SCADA Training","
	We welcome students who are prepared to interface their experience and diverse backgrounds with our high-end educational programmes, for their transformation to a developed personality prepared to face not only competitive examinations but also the board examinations and other school level examinations succeed in modeling successfully their respective career paths. "
The Scholars Hub Bistupur                  ,N/A,N/A,Bistupur,"H. No.21-22, 2nd Floor, Avishkar Bumbra Enclave, Q Road, Bistupur",Delhi, 831001,India,,"Biology, Chemistry, Mathematics, Physics","
	As the children move ahead on their career path the quintessential search for a quality after school program begins. We, in The Scholars' Hub, will usher children in a better prospect for a brighter future and would also help them to invent and establish their innate talents besides building a sound academic base to excel in exams. The Scholars' hub is the ultimate learning environment, conceptualized as the neighborhood tuition centre by an excellent pool of talented and passionate academicians and professionals."
Ica Sakchi                  ,N/A,N/A,Sakchi,"121, Birenu Asha Palace, Sanjay Road, Sakchi",Delhi, 831001,India,https://www.myprivatetutor.com/userfiles/centers/center1424078742.jpg,"Accounts, Business Analytics, Financial Management, HR/Personnel, Investment Training, Project Management, SAP Training, Stock & Share Trading, Tally ERP 9, Accountancy, B.Com Tuition, B.Sc Tuition, Banking & Finance, BBA Tuition, BCA Tuition, IT, BBA, BCA, MBA, MCA, PG Diploma, Mobile Repairing, BB... More [+]","
	ICA Sakchi provides program which are beneficial to the unemployed youth for Integrating frontiers of technology and excelling in Corporate Value. Here intensive coaching on all the aspect of the courses happens to be our prime focus. Easy subject approach is maintanined during the classes. Whatever programs we have made available for the students are extremely industry relevant."
Ica Bistupur                  ,N/A,N/A,Bistupur,"Gf 4,  H. S. Tower, L Road, Bistupur",Delhi, 831001,India,https://www.myprivatetutor.com/userfiles/centers/center1424078742.jpg,"Accounts, Business Analytics, Financial Management, HR/Personnel, Investment Training, Project Management, SAP Training, Stock & Share Trading, Tally ERP 9, Accountancy, B.Com Tuition, B.Sc Tuition, Banking & Finance, BBA Tuition, BCA Tuition, IT, BBA, BCA, MBA, MCA, PG Diploma, Mobile Repairing, BB... More [+]","
	ICA Bistupur is known for its intensive coaching on all the aspect of the courses. We maintain an easy subject approach during the classes. Regular study materials provided here are of superior quality. Industry relevant educational service is provided by the institute. Here students are entitled to get a great learning environment."
