Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Excellence                  ,N/A,N/A,Phoolbagan,"71/3 Canal Circular Road. Prasad Exotica- Block 8, Flat 6f., Phoolbagan, Kolkata, 700054",Delhi, 700054,India,https://www.myprivatetutor.com/userfiles/centers/center147340010616243.png,"English, Hindi, Geography, History","
	Excellence is an premium institutes located near Phoolbagan area .We provide Coaching classes for ICSE/ CBSE board students for all classes. We are mainly focussing on English and Hindi litarature and languages .Along with that we are focussing on History and Geaography also for class 9-10 ICSE/CBSE students.We provide coaching for the communicative english and grooming for the junior level students."
Icse/cbse Coaching                  ,N/A,N/A,Alipore,"H/O Uttam Shorf ( 2nd Floor) 56/2A , Gariahat Road, Kolkata-700019.",Delhi, 700019,India,,"Chemistry, Mathematics, Physics","
	ICSE /CBES COACHING FOR CLASS 8-10 is a premium chaching center located at ballygaunge which is  one of the most convenient area of kolkata and providing high quality tutoring to the class 8- 10 students in science and maths."
L'avenir                  ,N/A,N/A,Golf Green,A-51  Lake Gardens,Delhi, 700045,India,https://www.myprivatetutor.com/userfiles/centers/center1473165768.png,"Biology, Chemistry, English, Mathematics, Physics, Social Studies, History, Study in Australia, Study in Canada, Study in China, Study in Dubai, Study in New Zealand, Study in Singapore, Study in UK, Study in USA","L'avenir is a start up Organisation located at a very convenient area of Kolkata, Lake Gardens.  We provide Academic counselling for choosing a right career after Class 12 for Indian and Foreign Universities. We also provide tutorials for Science, Mathematics, English and Social Studies for classes 9-12."
Iact-garfa                  ,N/A,N/A,Garfa,"45/33, Vivekananda Sarani, P. O - Haltu, Garfa, Kolkata, 700078",Delhi, 700078,India,https://www.myprivatetutor.com/userfiles/centers/center147219183416300.jpg,"Corel Draw, Dreamweaver, DTP, Flash, Graphic Designing, HTML Training, Multimedia, Photoshop, Web Designing, .Net, C, C++, C# (C Sharp), Java and J2EE, Visual Basic, Java Script, PHP and MySQL, Basic Computer, Computer for official job, MS Office, School level computer, Tally ERP 9","45/33, Vivekananda Sarani, P. O - Haltu, Garfa, Kolkata, 700078"
Psb Tutorials                  ,N/A,N/A,Purbachal Kalitala Road,1209 Kalikapur1,Delhi, 700032,India,,"All Subjects, Biology, Computer, Language, Physics, Business English, Corporate Communication, Advanced Excel, Basic Computer, Creative dance, Folk Dance","
	PSB Tutorials started its journey in the year 2008 with a single batch of 3 students and now it continues to lead numbers of students from various universities to reach their career goals in various fields. In a MARKET where students pursuing a professional degree had to run from one place to another to train, PSB provides specialized & experienced faculty teaching all subjects as per the convenience of the students. PSB eased the way for education through online tutoring and making education available to all students and working professionals. We drive to focus on specialized and convenient pattern of education by taking regular feedback from the students to create a student friendly atmosphere thereby making learning enjoyable and understandable."
Conqcorp Management Solution                  ,N/A,N/A,Bagmari,"55/2, Kankurgachi 2nd Lane,1st Floor, Kankurgachi,Kolkata-54",Delhi, 700054,India,https://www.myprivatetutor.com/userfiles/centers/center1442572480.jpg,"English, Business English, Corporate Communication, Effective Communication, Public Speaking, Spoken English","We are offering customized quality training programmes for developing, grooming and differentiating an individual in the fast paced Corporate space. Placement assistance against our corporate training courses like HR, Sales and Marketing and BPO. Resume writing services at affordable rates. EMI options for the course fees to make them pocket-friendly. We focus on practical and innovative ways of trainingand encourage our candidates to develop a go-get it attitude as we are highly result-oriented."
Mock Test Offline                  ,N/A,N/A,Netaji Nagar,"10/14/1, Ground Floor, Netaji Nagar, Kolkata, 700040",Delhi, 700040,India,https://www.myprivatetutor.com/userfiles/centers/center147018761816527.jpg,"CS - Executive, CS - Foundation, CS Professional, Bank Clerical, Bank PO, IBPS, Railways Exams, RBI Exam, SBI Exam, School Service Commission, SSC Exams, WBCS","
	Mock Test Offline is a highly regarded coaching and training center located in the city of Kolkata, specializing in all competitive examinations and co related segment and subjects."
Niit Sonarpur Centre                  ,N/A,N/A,Baghajatin,"Niit Sonarpur, Holding No. 473, Jagannathpur, Simultala, Sonarpur Station Road, Sonarpur",Delhi, 700150,India,https://www.myprivatetutor.com/userfiles/centers/center147141381416518.jpg,"Financial Management, .Net, C, C++, C# (C Sharp), Java and J2EE, Perl Programming, Python Programming, Shell Scripting, Visual Basic, Java Script, PHP and MySQL, Advanced Excel, Basic Computer, Computer for official job, MS Office, Tally ERP 9","Niit Sonarpur, Holding No. 473, Jagannathpur, Simultala, Sonarpur Station Road, Sonarpur"
Arena Animation                  ,N/A,N/A,Ultadanga,"Merlin Warden Lake View, 1st Floor, 104, Bidhannagar Road, Besides Bidhannagar Road Railway Station, Kolkata, 700067",Delhi, 700067,India,https://www.myprivatetutor.com/userfiles/centers/center1454328252.jpg,"2D Animation, 3D Animation, 3D Max / Maya, 3D Printing, Adobe Tools, Animation, Ansys, AutoCAD  Training, Corel Draw, CSS Training, Dreamweaver, DTP, Flash, Games Development, Graphic Designing, HTML Training, Illustrator, Multimedia, Photoshop, Special Effects, Video Editing, Web Designing, Web Dev... More [+]","
	Arena Animation Ultadanga is the Animation, Web designing, VFX & Multimedia education arm of Aptech Ltd. Over the decades, Arena Animation Ultadanga has successfully trained more than 400,000 students through its career-oriented courses. The market outside India is much bigger & Indian companies work on outsourced international animation projects as well. Such a huge & growing industry requires thousands of skilled, trained people to work in animation studios, ad film & VFX companies, video processing & editing studios, and others.  To prepare you for a well-paying career in this field, Arena Animation Ultadanga provides world-class education through a wide network of centres in 20 countries."
Nice-ics                  ,N/A,N/A,Dalhousie,"Nice,8/1,  Lalbazar Street, Ground Floor, Kolkata",Delhi, 700001,India,https://www.myprivatetutor.com/userfiles/centers/center1470041820.jpg,"Business English, Corporate Communication, Effective Communication, IELTS, Public Speaking, TOEFL, GMAT, GRE, SAT, MBA Entrance, CMAT, Hotel Management Entrance, MAT, XAT","
	 "
