Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Schoolpage Tutorials                  ,N/A,N/A,Adil Nagar,"Lucknow 
226001",Delhi, 226001,India,https://www.myprivatetutor.com/userfiles/centers/center1427455408.jpg,"Chemistry, English, Mathematics, Physics, IELTS, Spoken English, TOEFL, French, German, Hindi, Spanish","
	School Page Lucknow is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world. While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the School Page team worked with other global academics to create the unique School Page e-Tutoring System (the STS), which is based on Richard E. Mayers Cognitive Theory of Multimedia learning. "
Singh's Classes                  ,N/A,N/A,Gomtinagar,"D-4/251, Vishal Khand, Gomtinagar, Near Cms Phase 1, Lucknow, 226010",Delhi, 226010,India,https://www.myprivatetutor.com/userfiles/centers/center147332383616716.jpg,"Mental Maths, CA - CPT, CS - Executive, CS - Foundation, CS Professional, Accountancy, Algebra, Chemistry, Commerce Subjects, Costing, Economics, Mathematics, Physics, Statistics, All Subjects, NSTSE, NTSE, B.Ed Tuition, Law Entrance, NIOS",we teachs our student by well manner and well frankely .. there is no any issues that my student not satisfied by any classes. 
Hashmi Tutorial                  ,N/A,N/A,Khurram Nagar,529A/131 Sant Kabir Lane Khurram Nagari Lucknow,Delhi, 226022,India,,"Chemistry, Mathematics, Physics",529A/131 Sant Kabir Lane Khurram Nagari Lucknow
Rr World Of Music                  ,N/A,N/A,Aliganj,"2nd Floor, Hall No. 3, Surya Palace, Ring Road, Munshi Pulia, Indira Nagar, Lucknow, 226016",Delhi, 226016,India,,"Fair & Exhibitions, Musical & Dance Programs, Performance & Shows, Spring Camps, Summer Camps, Training Programs, Winter Camps, Drums, Flute, Guitar, Indian Classical Music, Instrumental, Keyboard, Modern Songs, Piano, Singing, Western Classical Music","
	RR Studio: As we believe, we are devoted to educate, train and develop the people to excel in Music as a career, and we try to provide the right platform with the right media to help us grow better as Musicians. Well, here is a special announcement for all the Bands and Musicians, amateurs or professionals !! Unlike old times, there is a place for you guys to crank up while experimenting and working on your sound. RR World of Music presents a Professional Rehearsal studio, where you can create your music in a unique way, with a distinct sound. We help you in making a unique sound for you and your band, apart from the Professional equipment and Sound Systems. Our service makes sure that all the requirements of a musician and the band are taken care of. Not only the jamming space, but we also provide good space to arrange acoustics and compositions. Besides, if you are an amateur, also get a chance to know about some important tips and tricks of ""The Stage"" from the professionals around. So no more of neighbors threatening you, to call the cops when you MAKE SOME NOISE !!!"
Brilliance Tutorials                  ,N/A,N/A,Gomtinagar,1/225 Virat Khand Gomtinagar Lucknow,Delhi, 226010,India,,Mathematics,"
	Brilliance Tutorials is situated in the city of Lucknow. We are catering in the field of education form ages. We provide not only quality education but also individual attention is given when needed."
Palsh Chemistry                  ,N/A,N/A,Gomti Nagar,"3/243, Vishwas Khand, Gonti Nagar, Lko",Delhi, 226010,India,,Chemistry,"3/243, Vishwas Khand, Gonti Nagar, Lko"
Shubhangi Classes                  ,N/A,N/A,Chinhat Tiraha,"Shop No. 2, Dayal Residency Gate, Near BBD, Faizabad Road, Lucknow",Delhi, 227105,India,,"Chemistry, Mathematics, Physics, All Subjects, English, Geography","
	Shubhangi Classes are helping students to build a strong knowledge base for the students for a long time. We have all the resources ready to serve the students for their best results."
Opulent School Of Acting And Fine Arts.                  ,N/A,N/A,Aliganj,"B-1/25 Sector-a Kapoorthala Aliganj, Kapoorthala Lucknow.",Delhi, 226024,India,https://www.myprivatetutor.com/userfiles/centers/center146728367916309.png,"Fair & Exhibitions, Musical & Dance Programs, Performance & Shows, Spring Camps, Summer Camps, Training Programs, Winter Camps, Workshops & Seminars, Acting & Drama, Film Making, Photography",ABOUT US
Sap Training                  ,N/A,N/A,Lalbagh,"02 Gf Burlington Square Burlington Crossing Opp Ocr Building V.s Marg, Lucknow, Uttar Pradesh, 226001",Delhi, 226001,India,,"ERP Training, SAP Training","
	Sap Training has been established with the sole objective to dedicate itself for quality service in SAP Sector. We share our experiences in the SAP department what we had experience in the industry. That will be an example for the candidates to remember about the SAP topics."
A L S Training Institute                  ,N/A,N/A,Hazratganj,"5A, CD Block, 1st Floor, Dilippur Tower, Sapru Marg, Hazratganj, Lucknow",Delhi, 226001,India,,"MBA Entrance, Management Subjects","

		H.R Practical Training is provided according to the current industry needs. 

		ISO Certified institute. 

		All 85 H.R Topic Practically Covered. 

		100% Job Assistance. 

		Live Interview Sessions. 

		Practical Lab Sessions. 

		Life Time Guidance. 

		Life Time Membership.
"
Sap Training Institute                  ,N/A,N/A,Hazratganj,"Als Training Institute
Hazratganj,
Lucknow. 226022",Delhi, 226001,India,,"Microsoft Certification, SAP Certification","

		Excellent Faculty 

		Shortcuts & Time-saving Techniques 

		Small Batch Size 

		Personal Attention 

		Regular Doubt Sessions
"
Koshika Foreign Languages Academy                  ,N/A,N/A,Hazratganj,"Shop No.-4, Ist Floor, R S Plaza, Hazratganj, Lucknow",Delhi, 226001,India,https://www.myprivatetutor.com/userfiles/centers/center1458906163.png,"German, Spanish, French, Chinese","

		Learn and get from the experts 

		Free demo class before join 

		Learn anytime anywhere 

		Basic to advance : Koshika Foreign Languages Academy teach everything
"
Als Sap Training Institute                  ,N/A,N/A,Khurram Nagar,"2nd Floor AM Tower, Khurram Nagar Chauraha, Ring Road, Lucknow",Delhi, 226022,India,,"Management Subjects, BBA Entrance, BBA Subjects","
	ALS STAFFING, was established in 2007. One step solution provider for Human Capital needs and Management. We are more than an organization, we are a movement. Join us and change the world. Over the year, ALS has evolved into integrated human resource services with a commitment to provide people and people related services, and enhance net worth of the human capital of the organizations. An ISO 9001:2008 Certified HR Practical Training Program. ALS Training Institute presents a program which is modern, practical and industry-focused. Our training program will help you understand the concept of Practical HR Management. We will constantly improve your personality and capabilities."
Rshr Services                  ,N/A,N/A,Hazratganj,AB 7 1st Floor Dilippur Tower Sapru Marg Hazaratganj .,Delhi, 226001,India,https://www.myprivatetutor.com/userfiles/centers/center146424618315602.jpg,Management Subjects,"

		Customized Solution 

		Personal Attention 

		Small Batch Size 

		Audio Recording Sessions 

		Video Recording Sessions 

		Result Oriented Workshops
"
Smart Engineers Hub                  ,N/A,N/A,Daliganj,"AMIE Lucknow Campus,
 Near Residency, 
Daliganj, 
Lucknow, Uttar Pradesh",Delhi, 226020,India,,"AIEEE, AMIE","

		Highly dedicated and well qualified team of instructor. 

		Small batch. 

		Affordable fee structure. 
"
Als Sap Training Institute                  ,N/A,N/A,Khurram Nagar,"Als Training Institute
2nd Floor Am Tower,	
Khurram Nagar Chauraha,
Ring Road",Delhi, 226022,India,,"BBA Entrance, BBA Subjects, Management Subjects","
	We include all the topics in the SAP HR course, some of the major topics are: 


		SAP Utilities Time Management and Constraints 

		Cost Management Features of Payroll 

		Personnel Development 

		Recruitment 

		Pay Scale Structure 

		Configuring salary and wages 

		Business Management 

		Audit Reports 
"
Als Training Institute                  ,N/A,N/A,Khurram Nagar,"ALS Training Institute,
A.M. Tower, 2nd Floor,
Ring Road,
Khurram Nagar,
Lucknow - 226022",Delhi, 226022,India,,Management Subjects,"ALS Training Institute,
A.M. Tower, 2nd Floor,
Ring Road,
Khurram Nagar,
Lucknow - 226022"
Aliartis Institute                  ,N/A,N/A,Gorakhpur,"325- Haji Khadim Hussain Compound, Tiwaripur, Gorakhpur",Delhi, 273001,India,https://www.myprivatetutor.com/userfiles/centers/center1455538027.png,"Biology, Chemistry, Mathematics, Physics, AIEEE, IIT JEE Mains, AIPMT, Medical Entrance Exams, NEET",Only SAT coaching in Gorakhpur
