Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Score Guarantee Education                  ,N/A,N/A,Andheri,"201, Sukhmani Building (2 Mins Walking Distance From Andheri ( W ) Railway Station), Above Archies Gallery, S. V Road, Andheri ( W ), Mumbai, 400058",Delhi, 400058,India,https://www.myprivatetutor.com/userfiles/centers/center147324568916715.jpg,"Accountancy, Biology, Chemistry, Economics, Mathematics, Algebra, All Subjects, Physics, History, Bio Chemistry, Bio-medical, Business Maths, Computer Science, AIEEE, AMIE, AMITE, Architecture, BCA Entrance, BITSAT, CET, GATE Exam, IIT JAM, IIT JEE Advanced, IIT JEE Mains, JECA Exam, JEXPO, MCA Entr... More [+]","
	Score Guarantee Education is a reputed brand in providing quality training to students. Our institute promises to impart adequate knowledge and teach the fundamentals of the subject so that the student can understand & retain the essence of the subject in his/her mind & does not forget the same once the examination is over. The broader objective is to create interest in the subject and help in reproducing the same in the examination hall, emphasis will be placed on practical solution to enable the students to complete the sums within the given time. Equally students will be given enough opportunity to speak/deliberate on a subject to sharpen their verbal communication skills. The institute envisages bringing together the best practices that deliver quality knowledge solutions for all students. Individual attention will be given to the students keeping in mind the specific requirements of the students."
Eureka Academy                  ,N/A,N/A,Kandivali (e),"G 205, Marigold, Gundecha  Valley Of Flowers, Thakur Village, Kandivali East",Delhi, 400101,India,,"Arts Group, Biology, Chemistry, Commerce Subjects, English, Mathematics, Physics, All Subjects, History, Chemical, Civil, Computer, Electrical, Electronics, Mechanical","
	Coaching for school ( ICSE/CBSE/ IGCSE ) . And college PCMB( ISC/ CBSE/HSC). Engg and Diploma subjects."
Amars Tutorial                  ,N/A,N/A,Borivali,"Kandivali, 
Mumbai 
400067",Delhi, 400067,India,https://www.myprivatetutor.com/userfiles/centers/center1440679497.png,"All Subjects, Biology, Chemistry, Computer, English, EVS, Geography, Hindi, History, Language, Mathematics, Physics, Science, Special Education, Accountancy, Algebra, Anatomy, Anthropology, Arts Group, Bengali, Bio Technology, Botany, Business Maths, Business Organisation, Business Studies, Commerce... More [+]",Amars Tutorial is reputed tutorial for home and coaching based tuition for all types of academic requirements based in the city of Mumbai. We have theright resources for catering students needs and build their potential for better performance.
Innovate Academy                  ,N/A,N/A,Malad (w),2/1506 Challenger Tower,Delhi, 400101,India,https://www.myprivatetutor.com/userfiles/centers/center1424238815.png,"Production, IT, Electrical, Civil, Mechanical, Instrumentation, Drawing, Chemical, Mathematics, Electronics, Computer, MTTM, MBA Entrance, BBA Subjects, MHA, BTTM, BBA Entrance, Management Subjects, BHA, ICWA & ICWAI, CS - Foundation, CFA, CA - CPT, Direct Tax Laws, CS - Executive, CA - IPCC, ACCA, ... More [+]","
	Innovate Academy is a reputed institute based in the city of Mumbai. We provide quality education to our students. We mentor, tutor and guide aspiring youngetrs in their approach towards a promisig future.We will identify the strength and weakness of each student individually for their studies. Our method of teaching is similar to home tuition where every student get individual attention .We welcome all the parents and students who are looking for good tutoring"
Exadata Solutions                  ,N/A,N/A,Thane,"Thane, Vashi",Delhi, 400601,India,https://www.myprivatetutor.com/userfiles/centers/center145655138615402.png,"Big Data & Hadoop, MongoDB, Computer","Thane, Vashi"
Edventure Academy                  ,N/A,N/A,Powai,"83, Heera Panna Mall, Hiranadani",Delhi, 400076,India,https://www.myprivatetutor.com/userfiles/centers/center1468493796.png,"Biology, Chemistry, Mathematics, Physics, AIEEE, AMIE, Architecture, BCA Entrance, BITSAT, CET, GATE Exam, IIT JEE Mains, JEXPO, MCA Entrance Exam (JECA), Polytechnic Entrance, AICEE, AIPMT, Botany, MCI Exam, Medical Entrance Exams, PG Medical, Physiology, Zoology","Edventure was started by Mr. Apurva Ved (B. Tech., IIT Bombay) having vast experience of more than 8 years as Head Academics, in top IIT coaching institute. Edventure is operational at 6 locations across Mumbai & provides home tuition by IITians."
Schoolpage Tutorials                  ,N/A,N/A,60 Feet Road,Mumbai 400076,Delhi, 400076,India,https://www.myprivatetutor.com/userfiles/centers/center1407740380.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world.While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayer’s ‘Cognitive Theory of Multimedia Learning’. The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes, and Learning Outcomes that are highly student centric.
	    "
Wisdom Academy                  ,N/A,N/A,Andheri ( W ),"4th Floor, Madina House, Gaothan Lane, Off S.v Rd, Near Paneri Andheri W",Delhi, 400058,India,https://www.myprivatetutor.com/userfiles/centers/center1420742901836.jpg,"All Subjects, Biology, Chemistry, Computer, English, EVS, Geography, Hindi, History, Language, Mathematics, Physics, Science, Special Education, Accountancy, Algebra, Anatomy, Anthropology, Arts Group, Bengali, Bio Technology, Botany, Business Maths, Business Organisation, Business Studies, Commerce... More [+]","
	Expertise coaching"
Sandhya Bajaj Academy Of Personal Excellence                  ,N/A,N/A,Andheri,"1. Shivaji Park, Dadar West, Mumbai, Maharashtra 4000282. Sion(e), Mumbai, 400022",Delhi, 400028,India,https://www.myprivatetutor.com/userfiles/centers/center1468835338.png,"Creative Writing Classes, Handwriting, Mental Maths, Olympiad Exam Preparation, Personality Development, English, Mathematics, Spoken English, Summer Camps, Training Programs, Winter Camps, Workshops & Seminars","
	PERSONALITY DEVELOPMENT PROGRAMME (12 Sessions of 1.5 Hour - Weekly) Suitable for 14+ (School Students / College Students / Adults / Housewives) Objectives The course so designed is to help an individual to enhance one personality and accelerate personal growth. To help one discover the necessary skills required in one's life by creating a self awareness to produce. Website: http://www.developyourpersonality.in"
Sameer Tutorial                  ,N/A,N/A,Andheri ( W ),"House No: 402, 4th Floor, Siddhi Vinayak Plaza, Above Little Door Hotel. Opposite City Mall, Link Road, Andheri West",Delhi, 400053,India,https://www.myprivatetutor.com/userfiles/centers/center1424237420.png,"ACCA, CA - CPT, CA - Final, CA - IPCC, CFA, CFP, CIMA Certification, CMA Final, CMA Foundation, CMA Intermediate, CMA-CPA-ACCA-CIMA, CPFA, CS - Executive, CS - Foundation, CS Professional, Direct Tax Laws, ICWA & ICWAI, Accountancy, Algebra, Anatomy, Anthropology, Arts Group, Bengali, Bio Technology... More [+]","
	Sameer Tutorial is a reputed coaching center based in they city of Mumbai for school and college level subjects. students are provided with required attention that enables to be free to tell their problems, doubts and build strength in their self. Very caring and expert teachers are available to bring out the ebst in every student."
S M F Educational Solutions                  ,N/A,N/A,Mira Road (e),"504,unity Complex, Type-c, Wing -2, 
Opp.bharati Park,
Mira-bhayander Road",Delhi, 400101,India,https://www.myprivatetutor.com/userfiles/centers/center1442565959.jpg,"All Subjects, Biology, Chemistry, Computer, English, EVS, Geography, Hindi, History, Language, Mathematics, Physics, Science, Special Education, Accountancy, Algebra, Bengali, Commerce Subjects, Computer Science, Economics, Marathi, NSTSE, NTSE, School level computer, Social Studies, Zoology, Anatom... More [+]","

		Expert Faculty

		Interactive approach to teaching

		Flexible Timings

		Proactive Learning

		Unique Methodology
"
