Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Focus On Concept Classes                  ,N/A,N/A,All Areas,"Sector 22, Dnd Main Road, 3rd Floor, Opposite To Rajkiya Inter Collage, Above Muthoot Finance, Noida, 201301",Delhi, 201301,India,https://www.myprivatetutor.com/userfiles/centers/center1424235906.png,"Communicative English, Accountancy, Business Maths, Commerce Subjects, English, All Subjects, Biology, Chemistry, Mathematics, Physics, Bank Clerical, Bank PO, IBPS, Railways Exams, RBI Exam, SBI Exam, SSC Exams, AIEEE, GATE Exam, IIT JEE Mains, Spoken English, AICEE, AIPMT","We are offering comprehensive tutorial programmes in English Speaking, Bank PO, IBPS, SSC, RRB etc. Programmes are designed to bring enhanced understanding of the subject and examination performance ability. Numerous students who have followed our classes sincerely have benefited from our classes."
Schoolpage Tutorials Noida                  ,N/A,N/A,Amaltash Marg,Noida 201303,Delhi, 201303,India,https://www.myprivatetutor.com/userfiles/centers/center1427456217.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","
	Facility of online learning

	Strong infrastructure

	Values of Integrity and Discipline

	Attention to each student

	Academic environment

	Feedback to Guardian

	Modern evaluation methods"
Pinnacle Learning Destination                  ,N/A,N/A,Sector 2,"C 25, 2nd Floor, Sector 2",Delhi, 201307,India,https://www.myprivatetutor.com/userfiles/centers/center1467612193.jpg,"AFCAT, Bank Clerical, Bank PO, CSAT, CTET, Defence Exams, DMRC Entrance, DSSB, EPFO, IBPS, Insurance Exams, KVPY Exam, Police Department Exam, Railways Exams, RBI Exam, SBI Exam, SSC Exams, UPSC Exam","
	Pinnacle Institute has been offering educational services to the students preparing for the Competitive exams like Bank, Railway, SSC, Delhi Police, U.P Police and other competitive exams. The institute imparts comprehensive training-cum-guidance program which cover all the stages of Competitive exams including Interview. The Institute was established with the aim to provide a complete solution to the students preparing for competitive exams."
Swar Vandana                  ,N/A,N/A,Sector 49,"A-181, Green Valley School, Sector-48, Samvedna Hospital",Delhi, 201301,India,,N/A,"
	Complete arrangement for enjoyable learning !"
Vertex Tutoring                  ,N/A,N/A,All Areas,"D- Tower, Sector 74",Delhi, 201301,India,https://www.myprivatetutor.com/userfiles/centers/center14248824253670.png,"Accountancy, Business Maths, Business Studies, Economics, English, Costing, LLB, BBA Subjects, CA - CPT, Judicial Services","Accounts, Costing,  Economics, Business studies, Company Law at Plus two subjects/Graduation level were learnt from experts of the fields through well structured programmes. Started young but making students realise big dreams and make strides in a short span of time by holding onto high quality and knowledge standard."
Amiown                  ,N/A,N/A,Sector 44,"Sector-44, J- Block 1st Floor",Delhi, 201303,India,,Summer Camps,"
	We, at Amiown, believe that every child is a remarkable learner right from the day they are born. We have created a caring, nurturing and brilliant learning environment where the children can learn and attain their maximum potential. We have specially designed our curriculum keeping in view their very special requirements. We ensure to provide a safe, secure and enriching environment for every child."
Ravis Noddy Play School                  ,N/A,N/A,Sector 50,"A-56/1, Sector-50, Near Central Market Noida, Distt. Gautam Budh Nagar, Noida",Delhi, 201303,India,https://www.myprivatetutor.com/userfiles/centers/center1461749577.jpg,Summer Camps,"
	Ravis Noddy Play School stands as a pioneer playschool based in Noida. Our prime objective is to help young children develop confidence, self esteem and be independent. At Ravis Noddy Play School, each student is treated as an individual. We nurture their social and emotional skills and help them achieve the maximum potential. We provide the appropriate learning environment where students can discover their talent and develop it."
Balaji Career Consultancy                  ,N/A,N/A,All Areas,"B-336 Sigma-01, Greater Noida",Delhi, 201308,India,,"Algebra, All Subjects, Computer Science, English, Physics","
	BalaJi Career Consultancy provide tuition to local students - all classes and all subjects upto XII STD, UP Board, ICSC, CBSC. We are located in Noida."
Beachiever Education Services                  ,N/A,N/A,Sector 49,"C 173 
Sector 48",Delhi, 201301,India,,"All Subjects, Biology, Chemistry, Mathematics, Physics, Science, Botany, Zoology, B.Sc Tuition, Bio Chemistry, Bio-medical, Statistics, AIEEE, AMIE, IIT JEE Mains, AICEE, AIPMT, Medical Entrance Exams","C 173 
Sector 48"
Teea English Academy                  ,N/A,N/A,Sector 12,"Sector-12
Block - O-100
Noida",Delhi, 201301,India,,"Effective Communication, Public Speaking, Spoken English","
	Reasons why, most of the professionals choose TEEA English Academy. 1) During the study period many professionals have got selected for their companies projects in India and abroad. 2) Flexible batch system enables students to choose their batches. 3) Excellent and Strong commitment towards English Language Skill Development Program. 4) Strict Admission process through Self Evaluation Assessment. 5) High learning environment. Join TEEA, No.1 Choice for Brilliant Professionals."
Singh Tutorial                  ,N/A,N/A,Sector 128,"Sec 128, Noida, 201301",Delhi, 201301,India,,"Biology, Chemistry, Mathematics, Physics","Sec 128, Noida, 201301"
Prakriti Junior School And Activity Centre                  ,N/A,N/A,Sector 22,"F-72, Sector 22,Noida Near Park Plaza",Delhi, 201301,India,,Robotics,"
	was established with the objective to provide an environment where children develop a lifelong love for learning. We, at Prakriti believe that nothing can be taught, it can only be learnt by experiencing and igniting desire within to learn. We aim to encourage holistic education by incorporating art and craft, music and dance, drama and sports in its curriculum in a manner that encourages creative thinking."
Multisoft Virtual Academy                  ,N/A,N/A,Sector 2,"B-125, Sector-2, Noida-201301
G. B. Nagar, Uttar Pradesh",Delhi, 201301,India,https://www.myprivatetutor.com/userfiles/centers/center146251182216070.jpg,SAS Certifications,"
	Multisoft Virtual Academy is a global online training and certification company based in Delhi-NCR, India. Being the Authorized Training Partner of PMI, IIBA, Microsoft, Oracle, Cisco, Intel, Red Hat, Siemens, ISTQB, EC-Council, PTC, Bentley and many more, offers training on the widest domains and in-demand technologies like Project Management, Business Analytics, IT Security, IT Service Management, ERP, CRM, Embedded Systems, CAD/CAM, Web Designing and more. Apart from instructor-led online training, it also provides self-paced learning resources that include course material, practice tests and other reference material."
Clown Town                  ,N/A,N/A,Sector 52,"D-2, Sector 52
Noida",Delhi, 201301,India,,"Handwriting, Speech & Drama","

		Personalized guidance. 

		Experienced trainers. 

		Friendly learning environment.
"
Gautam Dotnet Training Center                  ,N/A,N/A,Sector 44,Sector 44,Delhi, 201301,India,,".Net, C, C++, C# (C Sharp)","
	Gautam Dotnet Training Center as an institute that does more than just coaching. We provide Programming Language training and we believe that learning should be intuitive an not forced, students should enjoy what they are learning and should look to become successful personalities than just robotic school pass-out graduates."
The Smiling Stars                  ,N/A,N/A,Sector 92,"A-205, Near Omaxe Forest Apts, Noida",Delhi, 201305,India,https://www.myprivatetutor.com/userfiles/centers/center1461749181.jpg,Martial Arts,"
	The Smiling Stars is an educational institute which is committed towards providing outstanding early years education through playway and montessori methodology. We aim to fill every child with confidence and excitement. Through our warm and friendly approach help students develop self confidence and independence."
