Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Big Brain Languages                  ,N/A,N/A,N/A,"Courses:IELTS, TOEFL, English, Spanish, Spoken English",Delhi, 28121080,India,https://www.myprivatetutor.com/userfiles/centers/center1453136583.png,N/A,"
	Big Brain Languages is a an online/virtual platform based primarily in Hong Kong for english/spanish related segment/subjects. Big Brain Languages is here to help you. 30 min classes 1 to 1 via Skype/ Wechat /Whatsapp 100% lesson flexibility Personal native speaking tutors Affordable prices ($11-15 per class) We have our FREE 20 min trial lesson."
Cambridge Doha Academy For Training                  ,N/A,N/A,N/A,"Courses:Communicative English, Language, BBA Entrance, Management Subjects, Accounts, Healthcare Management, HR/Personnel, Project Management, Administrative Laws",Delhi, 400029,India,https://www.myprivatetutor.com/userfiles/centers/center1445447157.png,N/A,"
	Cambridge Doha Academy for Training is a big Training Center , we present all administration programs"
Oxford Ielts                  ,N/A,N/A,N/A,"Courses:IELTS, TOEFL, English",Delhi, 110092,India,https://www.myprivatetutor.com/userfiles/centers/center1441978227.jpg,N/A,"Online course which can be taken in 45 to 90 days depending on your pace, anywhere you have a computer and good internet connection. Our courses uses a video and content player to deliver the course in exciting and easy to use ways. In every unit of the course you will find video, text, downloads and various activities which are designed to ensure what you learn makes a real impact on your IELTS score. Cost effective. You do not need to pay high cost tuition fee for IELTS course."
Online Tuition Solution                  ,N/A,N/A,N/A,"Courses:Commerce Subjects, Accountancy, BBA Subjects, Spoken English",Delhi, 75230,India,https://www.myprivatetutor.com/userfiles/centers/center1441019511.jpg,N/A,Online Tuition Solution is a leading coaching provider. We provide a competitive learning method for our students. Not only general subjects education but new technologies are also learnt through well designed programmes. 
Helios                  ,N/A,N/A,N/A,"Courses:M.Sc Tuition, Study in Australia, Study in Canada, Study in Europe, Study in USA",Delhi, 440010,India,https://www.myprivatetutor.com/userfiles/centers/center1444730391.jpg,N/A,"
	We started as small team, consisting of highly qualified professionals from different fields decided to develop a platform to provide the most reliable and true guidance to the hard working people of South Asia, who were willing to come to Germany for study purposes. The platform was so highly appreciated by our clients that the people not only from South Asia but from all over the globe started requesting our services even for destinations outside our services & coverage. Helios is one of the most trusted names all over the globe in the field of student, visa, immigration and job consultancy especially for Germany and in general for whole world. We understand how tough and toilsome Visa Application and Global Immigration processes are especially for South Asian and African Citizens."
Kallyhairwigs                  ,N/A,N/A,N/A,"Courses:Accounts, Financial Management, HR/Personnel, Primavera",Delhi, 266555,India,https://www.myprivatetutor.com/userfiles/centers/center1437965885.jpg,N/A,"Our main products are 100% human hair extensions, wigs, toupee and all kinds of hair extension tools. The smoothness, thickness and durability of our virgin remy hair has earned us good reputation from all over the world, Europe, North America, Japan and Australia included."
M And S E Education Online University                  ,N/A,N/A,N/A,"Courses:Mathematics, Mental Maths",Delhi, 741235,India,https://www.myprivatetutor.com/userfiles/centers/center1431028432.jpg,N/A,"
	we would like to provide educational resources free to all. We are small organization. I am CEO/CFO of the company and have done M.Sc in Applied Mathematics and Diploma in Computer Science from the University of Karachi. I have got more than 35 years of teaching experience. I have been writing items in Mathematics and did not copy from any book or internet. I have uploaded 12 documents and each document consists of 5 MCQs. We are very proud to provide all resources free. we do not need any donation from any one. Our aim is to promote education to all parts of the world. Our company M & S e-Education Online University established in the month of December, 2014. We do not want to earn from any resources we will provide because we do not want to commercialize education which might restrict any one."
H2kinfosys                  ,N/A,N/A,N/A,Courses:Software Engineering,Delhi, 452001,India,,N/A,"
	Expertise faculty with enriched knowledge in QA

	Coverage of real time projects in course curriculum

	Comprehensive IT training with industry best practices 

	Scalable and robust training methods and study materials

	Hands on projects and live assignments to explore your course knowledge

	QA interview questions to job search assistance"
Ed2go                  ,N/A,N/A,N/A,"Courses:All Subjects, English",Delhi, 92593,India,https://www.myprivatetutor.com/userfiles/centers/center1424867221.jpg,N/A,"Hundreds of quality online courses - from Creating Web Pages to Accounting Fundamentals, Speed Spanish to Grant Writing, and everything in between. Take a free demo of any one of our 12-week online video and written courses and experience proven online training success! See why millions of lifelong learners take online courses through ed2go and our network of 2100+ college and university partners."
Lingua Franca Academy                  ,N/A,N/A,N/A,"Courses:Spoken English, Spanish",Delhi, 95404,India,,N/A,"
	LFA has helped hundreds of Sonoma County residents speak Spanish or English. Whether learning a foreign language is a passion or a necessity, LFA can help you successfully acquire the language through our method of teaching. From the very first day of our Beginner 1 class, students are immersed in the language, speaking full sentences with the information presented. Our method focuses on listening and speaking in class, giving students an effective immersion-style class experience. "
