Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Shiv Tutorials                  ,N/A,N/A,Kankarbagh,"Kankarbagh, Patna, 800001",Delhi, 800001,India,,"Advanced Excel, Basic Computer, Computer for official job, MS Office, School level computer, Tally ERP 9, ACCA, CA - CPT, CA - Final, CA - IPCC, CMA Final, CMA Foundation, CS - Executive, CS - Foundation, CS Professional, Direct Tax Laws, ICWA & ICWAI, All Subjects, Biology, Chemistry, Computer, Eng... More [+]","
	Shiv Tutorials is located in the heart of Patna, India. We are providing coaching for a wide ranges of regular courses. Shiv Tutorials has the right ambiance of learning and our trained faculties make you develop an interest in your studies. You will experience enhanced learning abilities and results through our well designed programmes. Come and join us and feel the difference !"
A.d.y.a. Law Classes                  ,N/A,N/A,Sri Krishna Puri,"House Number-19, First-floor, Montessori School Lane, Opposite To Karlo Maruti Showroom, Boring Road, Patna, 800001.",Delhi, 800001,India,,"Civil Laws, CLAT, Contract Act Laws, Criminal Laws, LLB","
	We are a law coaching institution established in Patna with a goal of enriching legal education. A.D.Y.A. Law Classes is an upcoming coaching institution aiming to bridge the gap between the legal education and the practicing world. It ensures that its students stand firm and high in the legal arena. It provides opportunities to students towards development in all spheres of law. We are not typical law coaching institute which imparts only theoretical knowledge but imparts practical legal knowledge too. It tries to provides coaching on each and every subject of law of any course."
Amit Gupta Classes                  ,N/A,N/A,Kankarbagh,"Deo Sidhi Plaza, Kankarbagh Colony More, Near Jalan Shop, Patna",Delhi, 800020,India,,"B.Com Tuition, Banking & Finance, Costing, Direct Tax, Indirect Tax","
	We have more than 8 years experience in corporate environment. We help the student in the field of Financial Accountancy, Corporate Accountancy, Cost Accountancy, Financial Management, Taxation."
Maa Sharde Coaching Centre                  ,N/A,N/A,Buddha Colony,"At Post Dhanga West Via Kaluahi Madhubani, Buddha Colony, Patna",Delhi, 847229,India,,Mathematics,"
	At Maa Sharde Coaching Centre, we welcome students who are prepared to interface their experience and diverse backgrounds with our high-end educational programmes. Through our comprehensive programs, we contribute in their transformation to a developed personality prepared to face not only competitive examinations but also succeed in modeling successfully their respective career paths."
Gangotri Samajik Seva Sansthan                  ,N/A,N/A,Bahadurpur,"Kankarbag,Patna",Delhi, 800001,India,,"Biology, Chemistry, Hindi, Physics, Zoology","
	Gangotri Samajik Seva Sansthan as an institute has been setup by academicians who are extremely passionate about education and believe in more than just teaching. We are dedicate to improve the quality of education currently being imparted to student who are about to choose their future careers. We believe in mentor ship and in facilitating our student in taking important career discussion."
Vibrant Conceptual Physics                  ,N/A,N/A,Bazar Samiti,"Front Of Deepsikha Gas Godown, Main Gate Bazar Samiti,",Delhi, 800006,India,,Physics,"
	The primary aim in starting this institute was to impart technical education to engineering students in the real sense by implying on the needs and application of the engineering subjects and not just on formula and mugging by rote. Our approach to education is very pragmatic with completely holistic teaching methods ensconced inside an idealistic mantra."
Educonf Technologies                  ,N/A,N/A,Kankarbagh,"A-146, Shyam Sharda Kunj, 
P.C Colony, Behind Old Tiwari Bechar Petrol Pump,
Kankarbagh, Patna-20, Bihar",Delhi, 800020,India,,N/A,"
	Educonf Technologies is established to serve participants with best of education. The intensive coaching program is dealt with diligence and support for superior leaning. The institute aims at the best possible manner to contribute for students development and guidance. The courses are directed by qualified faculties with their best gained experience and knowledge."
Gencor                  ,N/A,N/A,Rajendra Nagar,"Road No 3, Rajendra Nagar",Delhi, 800016,India,https://www.myprivatetutor.com/userfiles/centers/center1453979675.jpg,"3D Max / Maya, AutoCAD  Training, HTML Training, Web Designing, .Net, C, C++, C# (C Sharp), Java and J2EE, Advanced Excel, Basic Computer, MS Office, Tally ERP 9, Robotics","We conduct four weeks / six weeks Training Program for Students of B.E./ B.Tech./Diploma in Engineering and M.C.A.

Our Training has been appreciated by Students| Colleges | Universities which has helped the students in enhancing their career prospects.

Training Platforms Provided By GENCOR:

1. For CE/ME/ECE / EEE Students : Embedded Systems & Robotics With PCB Designing 
2. For CE/ME/ECE / EEE Students : AutoCAD | 3Ds Max | Catia - Civil | Mechanical | Electrical | Architecture | Shipping | Aeronautics
3. For CS/IT /ECE Students: Computer Networking - CCNA 
4. For CS/IT Students: Computer Networking - CCNA | Linux | Java | Dot Net | Web Designing

* We also provide Project Training required by colleges as part of their academic curriculum."
Engineers Academy                  ,N/A,N/A,Kankarbagh,"Magadh Naresh 4 Floor, OPP KFC",Delhi, 800020,India,https://www.myprivatetutor.com/userfiles/centers/center1452677672.jpg,"Civil, Electrical, Electronics, Mechanical, B.Tech Tuition, M.Tech Tuition, IES Exam, MPPSC, PWD & CPWD, UPSC Exam, MPSC, UGC Net","
	Engineers Academy is a leading Educational institution based in Various Parts of India. A venture of the renowned Engineers Academy group, the Institute has established itself as a high quality education provider with prime focus on holistic learning and imbibing competitive abilities in students. Engineers Academy is for the commitment of quality in education as to bring out the best among best. The Institute prides itself in being the only multi-discipline class room in the various parts of India, spread over 15 centres and equipped with world class facilities. Engineers Academy promises to become one of the India's leading Institute with an acknowledged reputation for excellence in research and teaching and Teaching Methodology. With its outstanding faculty, world class teaching standards, and innovative academic programmes, Engineers Academy intends to set a new benchmark in the Indian education system. Our R & D cell has developed a 'Full-Proof' methodology to prepare our student for IES, GATE & PSU's Exam. It builds up the student's knowledge, confidence, mental & emotional stability. Once a student has enrolled for our courses he needs no external help."
Smv Academy                  ,N/A,N/A,Patna Airport,East Boring Canal Road,Delhi, 800001,India,https://www.myprivatetutor.com/userfiles/centers/center1451728950.png,"Digital Marketing, Java Script, PHP and MySQL, Wordpress Training","
	SMV Academy is the Best Training Institutes in Patna, we firmly believe in empowering young minds with skills and enlightening them with the knowledge to be the future leaders.SMV Academy believes in creating IT professionals by training our students in our various segments of Information Technology. Our training aims in teaching & understanding features and functionality of software courses."
