Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Heaven Classes                  ,N/A,N/A,Salunke Vihar,"A10 Building, Home No# 2,
Salunka Vihar Near ABC Firm, Pune 411022",Delhi, 411022,India,https://www.myprivatetutor.com/userfiles/centers/center1424242873.png,"ACCA, CA - CPT, CA - Final, CA - IPCC, CFA, CFP, CIMA Certification, CMA Final, CMA Foundation, CMA Intermediate, CMA-CPA-ACCA-CIMA, CPFA, CS - Executive, CS - Foundation, CS Professional, Direct Tax Laws, ICWA & ICWAI, Accountancy, Algebra, Anatomy, Anthropology, Arts Group, Bengali, Bio Technology... More [+]","
	Highly experienced teacher for the student."
Stos Academy                  ,N/A,N/A,Bet Narayan Maharaj,"Office No, 5-8 , Laxmi Arcade, Bhagwan Tatyasaheb Kawade Road, Nigade Nagar, Ghorpadi",Delhi, 41100,India,https://www.myprivatetutor.com/userfiles/centers/center147280040016612.png,"All Subjects, Biology, Chemistry, Computer, English, EVS, Geography, Hindi, History, Mathematics, Physics, Science, Accountancy, Algebra, Botany, Business Studies, Commerce Subjects, Computer Science, Economics, Education, IT & Computer Subjects, Zoology, NTSE, School level computer, NSTSE","
	Academy provide you the best teacher at your location. STOS Academy is the best association in Pune. It is a start up in education sector. It is a fast growing and new emerging institution that will focus on holistic approach and individual potential. The core values of our institution are creating trust worthy relation with our clients, we believe in providing our services with honesty,devotion. We believe in creating better job opportunities which pays well so that we could eliminate unemployment from India"
Potentia Learning And Development Solution                  ,N/A,N/A,Ambegaon,"Virkar Complex, Dahanukar Colony, Kothrud",Delhi, 411038,India,https://www.myprivatetutor.com/userfiles/centers/center1452687492.jpg,"English, GATE Exam, IELTS, TOEFL, MBA Entrance, NIFT, PTE, SNAP, XAT, Communicative English, Handwriting, Olympiad Exam Preparation, Personality Development","We strongly believe that every individual in Unique and we conduct our classes following it. Potentia Learning And Development Solution offers effective communication skill workshop, Power Communication Workshop -Interpersonal Skill Workshop, Interview Skill Workshop, Kids Workshop [10 years onward], English subjects coahing Standard 5 to Standard 12 CBSE, ICSE, State Board, Image Consulting, Stress Management, Professional Consulting and many more."
Crescent Classes                  ,N/A,N/A,Aundh,"154/2, Sainik Nagar",Delhi, 411003,India,https://www.myprivatetutor.com/userfiles/centers/center14731037943583.jpg,"All Subjects, Biology, Chemistry, Computer, English, Geography, Hindi, History, Language, Mathematics, Physics, Science, Special Education, Accountancy, Computer Science, Economics, EVS, Marathi, Social Studies, Zoology, Algebra, Commerce Subjects, School level computer, Learning Disabilities, Slow ... More [+]",Crescent Classes is reputed tutorial for coaching based tuition for academic requirements based in the city of Pune. We have the right resources for catering students needs and build their potential for better performance. We not only make the student examination ready but also make them successful in the future.
3ri Technologies                  ,N/A,N/A,Pimple Saudagar,"405, Rainbow Plaza",Delhi, 411027,India,https://www.myprivatetutor.com/userfiles/centers/center1451553054.jpg,"Big Data & Hadoop, Cloud Computing, Data Structures, DBMS & RDBMS, MongoDB, Oracle Training, PL/SQL, .Net, C, C++, C# (C Sharp), Java and J2EE, Perl Programming, Python Programming, Shell Scripting, Visual Basic, Android Training, BCA Subjects, Business System & Infrastructure Management, Data Scien... More [+]",3RI Technologies is a leading training provider for Software Development Courses since 2010. We provide high Quality Industry Level Training with Real Time Project based Scenarios. 3RI is an ISO 9001:2008 certified company imparting IT Training for advanced and cutting edge technologies. 
Shwetas World Of Foreign And Indian Languages                  ,N/A,N/A,Kothrud,"Chitralekha Chambers, 1st Floor, Above Kaka Halwai Shop",Delhi, 411038,India,,"Business English, Corporate Communication, Effective Communication, Public Speaking, Spoken English, Arabic, Assamese, Bengali, Chinese, Danish, English, French, German, Gujarati, Hindi, Italian, Japanese, Kannada, Latin, Malayalam, Mandarin, Marathi, Portuguese, Punjabi, Russian, Sanskrit, Spanish,... More [+]","Shwetas World Of Foreign & Indian Languages imparts training in all foreign & Indian languages classes. We bring you comprehensive programmes in various languages. The programmes are designed to provide a complete learning of the languages in Reading, Writing, Listening and Speaking with History and cultural knowledge of the place the language belong."
Achievers Point                  ,N/A,N/A,Bhandarkar Road,"871, Swanand, Opposite Bank Of Baroda, Bhandarkar Road",Delhi, 411004,India,https://www.myprivatetutor.com/userfiles/centers/center14224370674669.png,"ACT Exam, FMS, GMAT, GRE, IELTS, NBDE, NCLEX, OET, PSAT, PTE, SAT, Study in Australia, Study in Canada, Study in China, Study in Dubai, Study in Europe, Study in France, Study in Germany, Study in Ireland, Study in New Zealand, Study in Norway, Study in Singapore, Study in Switzerland, Study in UK, ... More [+]","
	The unique place that is Achievers Point due to various factors. Here personal attention is provided to each student that builds a strong bond within the pupil and the mentor. It has incredible success story, decades of consistent track record for delivering outstanding results. The committment is never breached at achievers Point. Performance is monitored through numerous test & class exercise. Every single problem of the student studies are attended with good solutions. We extend the duration of our IELTS training from one month to two if one if any student is unable to achieve satisfactory progress. Outstanding faculties and trainers come from very rich background that includes real test takers & person with global expertise. "
Iit-jee & Engineering Forum                  ,N/A,N/A,Kothrud,"Laxmi Datta 704. Near Shinde Petrol Pump And Matatha Mandir, Opposite Riddhi Siddhi Bavdhan Pune",Delhi, 411021,India,,"IT & Computer Subjects, Mathematics, Physics, AIEEE, AMIE, CET, Chemistry, IIT JEE Mains, Mechanical","
	We provide excellent teaching in science stream i.e. physics, chemistry and mathematics for boards , engineering, and medical entrance examinations. Courses for mechanical engineering subjects are also available."
Schoolpage Tutorials                  ,N/A,N/A,Ahmednagar Cantonment,Pune 411001,Delhi, 411001,India,https://www.myprivatetutor.com/userfiles/centers/center1407740213.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world.While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayer’s ‘Cognitive Theory of Multimedia Learning’. The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes, and Learning Outcomes that are highly student centric."
Edu Cadd                  ,N/A,N/A,Pune,"S.n. 672/1, Unit No 301, Unity Gold Complex, Near Chhatrapati Lodge, Deccan Gymhkana",Delhi, 411004,India,https://www.myprivatetutor.com/userfiles/centers/center1452515614.jpg,"3D Max / Maya, Adobe Certification, Adobe Tools, AutoCAD, Corel Draw, Graphic Designing, Interior Designing, Microsoft Certification, Photoshop, Aeronautical, Auto CAD, Civil, Computer, Drawing, Electrical, Electronics, Instrumentation, Mechanical, Production, PMP Certification, Primavera, Project M... More [+]","We are a pioneering initiative geared to assists IT aspirants and offer personalized coaching by acclaimed faculties at a moderate cost in CAD, CAM etc. Our institute aims at contributing towards students development in the field of technologies. Edu CADD has become successful in building professionals of technical expertise."
S M F Educational Solutions                  ,N/A,N/A,Ahmednagar Cantonment,"Pune H.o : 504,unity Complex, Type-c, Wing -2, Opp.bharati Park, Mira-bhayander Road, Mira Road(e), 400107",Delhi, 411035,India,https://www.myprivatetutor.com/userfiles/centers/center1424240239.png,"Abacus Training, Communicative English, Handwriting, Language, Mental Maths, Olympiad Exam Preparation, Personality Development, Speech & Drama, Spell Bee Training, ACCA, CA - CPT, CA - Final, CA - IPCC, CFA, CFP, CIMA Certification, CMA Final, CMA Foundation, CMA Intermediate, CMA-CPA-ACCA-CIMA, CP... More [+]",We provide state of the art technology with modern infrastructure in an centrally air conditioned environment
Brick                  ,N/A,N/A,Undri,"SMEF'S Brick Group Of Institutes
Survey No. 50 / 3, Undri, Pune, Maharashtra",Delhi, 411060,India,,Summer Camps,"
	Brick Summer School which is an initiative of SMEF's Brick Group of Institutes is the perfect solution for individuals looking forward to spens their summers in a more constructive way and learn something that can simply add to their repertoire of knowledge. Here one can enjoy short term courses that are not only fun and refreshing, but can also help them explore the subject of your choice in greater depth and perspective."
Pug Marks                  ,N/A,N/A,Bibwewadi,"131, Poornima Towers,
397 Shankarsheth Road",Delhi, 411037,India,,Summer Camps,"
	Pug Marks is a premier Adventure and Wildlife Travel Company in India. We offer a range of specialized services include, Trekking in Himalayas, White Water Rafting, Kayaking, Scuba diving, Snorkeling, Himalayan Adventure Travel and Tour Packages. Our prime objective is to actively promote ecotourism in India with our array of summer camps, Diwali camps and holiday camps through out India. Kids camps are a specialty with us."
Happiness                  ,N/A,N/A,Kalyani Nagar,"No.5 Palacimo Estate, Lane 6, Kalyaninagar, Pune",Delhi, 411006,India,,Summer Camps,"
	Happiness works with the prime objective of enhancing the quality of life in our community, families and individuals across all ages through our special and quality programs in the creatives, arts, extracurriculars, health and wellness. We aim to provide an experience with high standards and as such through all programs incorporate teaching and learning respect, good manners, etiquette, appropriate social interaction with all ages, responsibility and ownership, and a sense of strength in togetherness."
