Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Bkg Academy                  ,N/A,N/A,Shankar Nagar,"Street No. 08, New Shanti Nagar, Adjacent To Shankar Nagar, Raipur, 492001",Delhi, 492001,India,https://www.myprivatetutor.com/userfiles/centers/center1462602434.jpg,"Chemistry, Commerce Subjects, Economics, Mathematics, Physics","
	BKG Academy Raipur was conceptualised owing to continuous deterioration of the quality of formal education and the lack of necessary useful life skills. According to science, the entropy (disorder) of the universe is increasing, then the human society cannot remain unaffected but knowledge of the reasons of this disorder may lead to some solution, at least partially, if not completely. The entropy of our education system has also increased in line with the society at a very fast rate. This has resulted in the phenomenal growth of the number of so-called educated human-resource but from the point of view of quality or development in totality it is far far behind. BKG Academy Raipur is one such effort and experiment where, it is targeted to update the quality of education and skills of students by learned, experienced and dedicated team of experts in education and skills. BKG Academy is an Institute for Education and Skill Development under the Aegis of BKG Education Society, Raipur. The BKG Academy has full support of a team of Experienced and Dedicated Education and Skill Development Experts."
Time Bilaspur                  ,N/A,N/A,Bilaspur,"Shop No. 403,3rd Floor, Karbala Road, Near Bus Stand, Bilaspur",Delhi, 495001,India,https://www.myprivatetutor.com/userfiles/centers/center146252137516025.jpg,"MBA Entrance, IIFT, SNAP, TISSNET, XAT","Triumphant Institute of Management Education Pvt. Ltd. (T.I.M.E.) is India's leading test-prep institute with a pan-India presence and is headquartered at Hyderabad. Established in 1992, T.I.M.E. today operates out of 236 offices located in 112 towns and cities across the country. Over 40 IIT/IIM graduates form part of the core team at T.I.M.E.."
Sids                  ,N/A,N/A,Bhilai,208 Zonal Market Sector 10,Delhi, 490020,India,,"Accountancy, Business Organisation, Business Studies, Commerce Subjects, Economics","
	The mission of our institute to serve the interests of all prospective commerce student by providing professional integrity, quality standards and world-class education for them to succeed professionally in life."
Mathemetica                  ,N/A,N/A,Telibandha,Street No-1 Telibandha,Delhi, 492006,India,https://www.myprivatetutor.com/userfiles/centers/center145933930415736.jpg,"AIEEE, IIT JEE Mains, Mathematics, MCA Entrance Exam (JECA)","
	As an institute MATHEMETICA helps the students to prepare for their school level academics along with Engineering Entrance & IITJEE. The programmes are conducted covering the full curriculum through explanation of each and every topic with great detail. All the students needs of learning are attended with good expertise and care."
Kidz Castle Pre School                  ,N/A,N/A,Devendra Nagar,C-164 Sec-1 Devendra Nagar Raipur Chhattisgarh,Delhi, 492001,India,https://www.myprivatetutor.com/userfiles/centers/center145974882415403.jpg,"Slow Learners, Learning Disabilities",C-164 Sec-1 Devendra Nagar Raipur Chhattisgarh
"Arena Animation, Raipur                  ",N/A,N/A,Civil Lines,Arena Animation Raipur,Delhi, 490020,India,https://www.myprivatetutor.com/userfiles/centers/center1455966820.jpg,"2D Animation, 3D Max / Maya, Graphic Designing, Web Designing, Digital Marketing, Drupal, Java Script, PHP and MySQL, Advanced Excel, Basic Computer, Computer for official job, MS Office","

		E-books 

		Study material and Video tutorials
"
A-1 Info System                  ,N/A,N/A,Shankar Nagar,"A-1 Info System, Krishna Plaza, First Floor 101, Opposite Binda Sonkar School And Shiv Vatika",Delhi, 492001,India,https://www.myprivatetutor.com/userfiles/centers/center1455523663.jpg,".Net, C, C++, Java and J2EE, Visual Basic, AJAX Training, Digital Marketing, Java Script, PHP and MySQL, Basic Computer, Computer for official job, MS Office, School level computer","

		Basic: - Operating System and its Application Software, MS Office, Internet, Social Media.

		Programming Language: - C, C++, VB, Java, Advanced Java, Dot Net, PHP, Markup Language, Scripting Language, and CSS.Database: - SQL Server, SQL, PL/SQL, MySQL, Oracle.

		Web Development: - Complete Web Development using Tools and Coding with Database.

		Software Development: - Desktop and Network Software with Database.

		Android Application Development: - Android Studio with SQL Lite.

		Digital Marketing: - SEO, SMO, Ads and Promotion.

		Customized Package: - Students or Clients Prepared List of Subjects are Delivered.

		Hardware and Networking: - Assembling, Installation, Troubleshooting, Networking, Client - Server Architecture Setup, Server Configuration and Maintenance.

		Application Software: - Corporates Applications Training.Corporate Training: - Corporate Training at Client Site for Desired Subjects.

		All Computer Subjects of: - MCA, BCA, PGDCA, DCA, BE Computer Science and IT, Bsc IT, B.Com and Other Computer Courses of Universities and Institutes.
"
L.s.academy                  ,N/A,N/A,Bhilai,"Shop No. 533, ""B"" Market, Sec 6, Bhilai",Delhi, 490001,India,https://www.myprivatetutor.com/userfiles/centers/center1454614551.jpg,"CA - CPT, CA - IPCC, CMA Foundation, CMA Intermediate, Accountancy, Commerce Subjects, Costing, Economics, B.Com Tuition, Direct Tax, Financial Management, BBA Subjects, Management Subjects","

		Teaching based on student's ability 

		Systematic approach on studies 

		Individualized, customized learning plan 

		Guidance student to bright future 

		Proven success 
"
Code Academy                  ,N/A,N/A,Mowa,"CODE ACADEMY, 5TH FLOOR, USHA PRIDE, MOWA",Delhi, 492001,India,,"IT & Computer Subjects, Computer Science, Mathematics, .Net, C, C++, Java and J2EE, Shell Scripting","
	 "
Educadd - Raipur                  ,N/A,N/A,Rajnandgaon,"B1/38 , First Floor ,Lokmanya Housing Society, Near Gol Chowk, Rohinipuram",Delhi, 492010,India,https://www.myprivatetutor.com/userfiles/centers/center1451237546.jpg,"Auto CAD, Civil, Electrical, Mechanical, Facebook Applications","Educadd Certified Instructor program ensures trainings, update trainings and rigorously monitor the performance of trainers. Only an ECI is authorized to deliver trainings to our students.
We offer Ultra-modern training lab with all the necessary facilities.
Training imparted only on genuine software with full functionalities.
Flexible batch timings & Small batch size which assure maximum attention to students.
100% Placement assistance.
At EduCADD we have a technical team dedicated to course material development. They are a team of engineers and industry veterans who keep close interaction with industry to understand new developments and trends in the industry and make sure the new versions of course material is released as and when new version of software is released.
Live project work to encourage the creativity and develop expertise
Certification exams directly from the software manufacturers on completion of courses.
Our certificates carry a hologram and a unique certification number which ensure authenticity of participant. Our certificates are widely accepted by employers worldwide.
Special skill development programmes on weekends."
