Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
I-digital Training And Business Solutions                  ,N/A,N/A,Benz Circle,"D.no-40-1-94c-kanna Nagar, Behind Modern
Super Market, Benz Circle, Vijayawada	,",Delhi, 520010,India,,Advanced Excel,"
	provides digital marketing coaching, professional development and counseling for small business owners, students, entrepreneurs and self-employed professionals."
Global Soft                  ,N/A,N/A,Ibrahimpatnam,"ADDEPALLY COMPLEX 
RING CENTRE 
IBRAHIMPATNAM",Delhi, 521456,India,,"3D Max / Maya, DTP, Multimedia, Web Designing, Web Development","
	We are an inspired venture to the new age technologies on the field of Multimedia and we have aligned our thought and implementation techniques according to the nature of changing times. Our classes are focused on the enhancement of the students potentials and make them industry ready with all the key skills at their fingertips."
Sadiq Soft Skills                  ,N/A,N/A,Darga,"1st Floor, M.R.F SHOW ROOM, Podili Road Darsi, Prakasam Distrist.",Delhi, 523247,India,https://www.myprivatetutor.com/userfiles/centers/center145468036714743.jpg,"Slow Learners, Business English, Corporate Communication, Effective Communication, Public Speaking, Abacus Training, Basic Computer, Communicative English, Handwriting, Language, Mental Maths, Olympiad Exam Preparation, Personality Development, Robotics, Speech & Drama, Spell Bee Training, Leadershi... More [+]","
	Sadiq Soft Skills is based in Vijayawada specializing in English related segment/subjects. We provide knowledge about life skills. Come with us and build your strong career."
Fire Sports Tennis Academy                  ,N/A,N/A,Kadapa,"Ysr Kadapa District, Near Csi School, 
Kadapa",Delhi, 516001,India,https://www.myprivatetutor.com/userfiles/centers/center1451642611.jpg,Tennis,"
	FIRE SPORTS Academy: Kadapa Tennis @ YSR Kadapa, Andhra Pradesh FIRE Sports Tennis @ YSR Kadapa, Andhra Pradesh Professional Tennis Coaching for all Age Groups - Kids Tennis: Beginner - Students Tennis: Beginner, Intermediate - Adults Tennis: Beginner, Intermediate and Advanced levels Academy is open to children of all ages for: - Intensive Tennis program for High Performance, Advance, Intermediate and Beginners. - Physical training using the latest methods, techniques and yoga to stimulate body & mind to attain an unstinted focus to the game. - Travel guidance for tournament schedules "
Victory                  ,N/A,N/A,Ntr Colony,"G2, GROUND FLOOR, VIVEKANANDA TOWERS, OPP. NIRMALA HIGH SCHOOL",Delhi, 520010,India,https://www.myprivatetutor.com/userfiles/centers/center1451454376.png,"Slow Learners, GRE, IELTS, TOEFL, Business English, Spoken English","

		FD - Basic Course for the beginners Duration - 26 WDP - 52 WDP 

		Grammar and Spoken English Duration - 52 WDP 

		Interview Skills - Interview skills for job seekers Duration - 6 WDP 

		Professional English - English for Professionals Duration - 26 WDP 

		Fundays English - English for Children Duration - 30 WDP

		IELTS/TOEFL - Entrance exam for students going abroad Duration - 30 WDP
"
Iiht Technologies                  ,N/A,N/A,Madhura Nagar,MG Road,Delhi, 56001,India,https://www.myprivatetutor.com/userfiles/centers/center1450175189.png,"Education, IT, .Net, Big Data & Hadoop, Cisco certification, Cloud Computing, Computer Hardware","

		India’s No. 1 IT infrastructure Management Services (IMS) training company. - 

		Training solutions that fit every learning style, schedule, preference and geography

		Top quality training experience.

		State-of-the-art infrastructure

		Successful track record of excellence in training IMS and high-end networking areas 

		Up-to-date in growing with changing industry requirements.
"
Glory It Technologies                  ,N/A,N/A,Gollapudi,"Flat No. 105, Kanaka Durga Residency, Near Narayana Junior College",Delhi, 521225,India,https://www.myprivatetutor.com/userfiles/centers/center1450167060.png,"IBM Training, Java and J2EE, Oracle Training, SAP Training, Software Engineering","

		Academic interactions, assessments.

		Detailed learning process.

		Pupil-centered approach.

		Updated study material

		Committed and qualified faculty
"
Masterit Training Institute                  ,N/A,N/A,Benz Circle,"Shanti Plaza, 1st Floor, Above S B I ( N R I Branch), Benz Circle To Eluru Road, Gayatri Nagar, Vijayawada",Delhi, 520008,India,https://www.myprivatetutor.com/userfiles/centers/center1443678633.jpg,"Android Training, Big Data & Hadoop, Ethical Hacking, Informatica, Computer, IT, Business English, Corporate Communication, Effective Communication, Spoken English, Software Engineering","
	MasterIT Training Institute is the leading provider of IT Training worldwide. We offer comprehensive training programs with well integrated approach to latest and industry required IT technologies. Our primary focus at MasterIT is to bridge the gap between industry requirements and students skills. Headquartered in Addison, Texas, USA, we have offices in the Hyderabad and Vijayawada in India and very soon expanding to Americas, Europe, Oceania and Middle East. "
Data Creations                  ,N/A,N/A,Kadapa,"Joseph Lay, Kambala Cheruvu Junction,",Delhi, 533101,India,,"Accountancy, IT & Computer Subjects, Robotics, Auditing, BCA Tuition, Auto CAD, Civil, Electrical, IT",Data creations is a reputed coaching centre based in the city of Vijayawada. We work for the school students who needs assistance in their studies. Our coaching programme is an all round one where students gets to learn the subjects with depth and application abilities.
Lucky Tutoring Services                  ,N/A,N/A,Krishna Lanka,"Lalbhahudur Street, Krishna Lanka, Vijayawada-13",Delhi, 520013,India,,"All Subjects, English, Hindi, Mathematics, IT & Computer Subjects, Physics, Computer, Drawing, Electrical","
	Lucky Tutoring Services is a reputed tutorial center based in the city of Vijayawada for school and college level education. We are working with all the right resources for the students best result. Join us and enhance your studies !"
Naresh I Technologies                  ,N/A,N/A,Benz Circle,"Near D V Manar Hotel, Opposite Maanya Showroom, Above Smitha World Travels, 2nd Floor, M G Road, Vijayawada",Delhi, 520010,India,https://www.myprivatetutor.com/userfiles/centers/center1438163798.jpg,".Net, Animation, C, C++, CSS Training, Data Science, Java and J2EE, Java Script, Joomla Training, PHP and MySQL, PL/SQL, Programming Language, Spring Training, Web Designing, Web Development","
	Naresh i Technologies is a reputed institute in the fields of emerging technologies. We have all the right resources to instill and enhance your skills in the softwares. We maintain an unwavering endeavour to bring our students at the front line of the technological advancement of our country."
